Comentario,Autor,URL_Video,Fecha_Publicacion_Video,Fecha_Publicacion_Comentario
sorry football won the netherlands,@braysonxmaster2097,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,30/03/2024 22:24
stupid commercial with stupid president,@jamesmills7187,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,30/03/2024 21:50
clown president of u what an embarrassment,@robertmyers7383,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,30/03/2024 17:52
it called football,@angelg3706,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,30/03/2024 17:29
in an alternate universe where didnt use the teleprompter it called hockey go china,@mrhorrorjunkie7873,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,30/03/2024 15:06
it called fudtbal,@edineditz_16,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,30/03/2024 10:30
awwww how cute,@Wyselena,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,30/03/2024 09:48
not soccer it football,@EnrichMayborn,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,30/03/2024 05:17
it called futbol,@moisesbonilla7228,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,30/03/2024 02:58
think it the s when his parent told him story of usa finishing rd,@dinnerpug2450,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,30/03/2024 01:14
i thought this wa add for sec,@DelemaDin,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,29/03/2024 02:07
is called soccer why america why are we like this lool,@enriquelinares9218,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,28/03/2024 20:24
just imagined the ball hitted his face,@AviationIncludes,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,28/03/2024 18:22
football,@libyanloyal7932,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,28/03/2024 16:14
it called soccer it called football,@shreejanashrestha2297,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,28/03/2024 14:23
oh my god leave our president alone,@VarunSharma-ci9xz,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,28/03/2024 13:27
it did not work well,@zejuventusloverz3299,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,28/03/2024 11:08
wow russia,@soner1245,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,28/03/2024 02:00
soccer,@SGSK122,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,28/03/2024 01:22
wtfffffff,@Gej890,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,27/03/2024 22:43
blooper please,@Ministry.Of.Justice,https://www.youtube.com/watch?v=YicZDOimR4U,03/12/2022 19:11,27/03/2024 20:49
