Palabra,Frecuencia
biden,2502
trump,1794
president,1525
joe,1273
wa,1056
people,951
like,799
vote,777
year,749
u,699
country,669
one,571
get,568
american,561
america,547
dont,542
time,530
know,500
go,489
im,482
need,473
would,470
old,440
even,423
love,423
man,421
great,408
want,407
make,391
say,388
world,382
cant,381
think,378
guy,372
see,352
going,349
look,337
thats,328
right,321
way,319
democrat,311
thank,304
let,297
thing,296
take,290
war,286
done,269
touch,268
never,265
got,264
state,259
ad,258
back,254
good,253
said,250
much,249
really,246
doesnt,242
still,238
better,236
could,234
job,234
election,233
lie,228
harris,226
meidas,222
ever,221
well,218
best,215
didnt,212
mr,207
democracy,206
many,204
come,203
stop,201
obama,199
voting,199
doe,198
win,196
show,196
keep,195
age,191
party,191
israel,190
blue,189
joke,187
real,187
nothing,186
god,184
sent,184
day,182
youre,181
border,181
money,179
support,178
care,174
bidens,172
usa,171
please,171
life,171
first,170
lol,165
kamala,165
also,164
video,157
every,156
talk,155
everything,155
anyone,153
history,151
always,151
house,151
actually,150
bad,150
made,150
last,149
republican,149
person,148
run,146
office,144
give,144
someone,144
worst,144
work,143
put,141
believe,140
family,140
economy,140
running,139
tell,139
news,139
comment,137
united,136
thanks,135
change,134
anything,134
something,134
leader,133
new,133
speech,131
candidate,130
donald,126
another,126
interview,126
everyone,124
government,124
home,122
medium,120
million,119
since,118
word,118
isnt,118
white,117
law,117
saying,116
inflation,116
na,115
four,115
end,115
free,114
woman,114
two,114
hope,114
face,113
yes,113
remember,112
must,110
long,109
without,109
criminal,109
big,108
away,107
fact,106
help,105
ukraine,105
question,104
ago,104
lot,103
power,103
mean,102
watch,101
genocide,101
called,100
point,100
thought,99
reason,99
funny,99
next,98
human,98
left,98
around,98
enough,98
oh,97
true,97
nation,97
talking,96
live,96
covid,95
trying,94
crime,94
behind,93
sure,93
politician,93
political,93
gaza,92
young,92
wont,91
child,91
matter,91
name,89
gon,89
issue,89
tax,88
politics,88
least,87
problem,87
making,87
corrupt,87
already,87
worse,87
voter,87
bro,86
literally,86
fake,86
truth,86
whole,85
wrong,85
term,85
illegal,85
policy,84
citizen,84
sad,83
feel,83
administration,83
hard,83
lying,83
bill,83
seen,82
theyre,82
clown,81
whats,81
different,81
may,81
hate,81
sense,80
puppet,80
wow,80
coming,80
democratic,80
price,79
fjb,79
campaign,79
full,78
voted,77
idiot,77
took,76
stand,76
dictator,76
start,76
palestinian,76
stupid,75
hand,75
maybe,75
getting,75
far,74
wonder,73
side,73
choice,73
november,73
seth,73
find,72
lost,72
try,72
howard,72
probably,71
ive,71
yet,71
ill,71
liar,71
respect,71
step,71
ice,70
part,70
else,70
dems,70
pay,70
putin,70
week,70
use,69
looking,69
either,69
debate,69
eye,69
together,69
call,68
b,68
second,68
russia,67
understand,67
wasnt,67
future,67
hell,66
little,66
used,66
working,66
student,66
agenda,66
dementia,65
dude,65
mind,65
youve,65
black,65
brain,65
high,65
happened,64
answer,64
month,64
cream,63
able,63
instead,63
wait,63
kind,63
idea,62
save,62
elected,62
public,62
living,62
sound,61
race,61
read,61
palestine,61
told,60
become,60
almost,60
th,60
evil,60
barr,60
rest,59
amazing,59
stay,59
act,59
kid,59
control,58
crazy,58
wish,58
anymore,58
ask,58
middle,58
zionist,58
finally,58
cause,57
peace,57
presidency,57
today,57
fool,57
nice,57
entire,57
speak,57
open,57
gas,57
head,56
place,56
poor,56
sleepy,56
vp,56
hear,56
police,56
deal,56
record,56
football,55
yeah,55
fall,55
imagine,55
protest,55
dollar,55
national,55
plan,55
stern,55
china,54
beat,54
course,54
brandon,54
started,53
joes,53
proud,53
past,53
pretty,53
dead,53
bring,53
sorry,52
others,52
forget,52
fight,52
gone,52
absolutely,52
sick,52
order,52
senile,52
drop,52
cry,52
rule,52
calling,51
orange,51
couldnt,51
friend,51
strong,51
wife,51
interest,51
poll,51
union,51
message,50
forgot,50
presidential,50
taking,50
number,50
class,50
channel,50
half,49
yall,49
wouldnt,49
father,49
watching,49
hair,49
nobody,49
younger,49
id,49
lose,49
mental,49
team,48
went,48
service,48
definitely,48
pathetic,48
billion,48
shame,48
ai,48
youtube,48
network,48
letter,48
ok,47
happen,47
sentence,47
jew,47
bidenharris,47
awesome,47
leave,46
saw,46
gave,46
walk,46
traitor,46
cost,46
humor,46
charge,45
agree,45
listen,45
fit,45
biggest,45
line,45
wisdom,45
crisis,45
turn,45
move,45
terrible,44
guess,44
v,44
freedom,44
wanted,44
completely,44
vice,44
congress,44
sir,44
clear,44
drug,44
forward,44
system,44
uk,43
immigrant,43
clearly,43
mentally,43
le,43
chance,43
nato,43
tied,43
fraud,42
food,42
using,42
rather,42
action,42
ear,42
mouth,42
decision,42
came,42
shes,42
alone,41
death,41
might,41
given,41
late,41
case,41
failed,41
weak,41
continue,41
etc,41
business,41
propaganda,41
allowed,41
minute,41
indian,41
seems,40
paid,40
aint,40
press,40
knew,40
stage,40
court,40
destroy,40
land,40
teleprompter,39
moment,39
obvious,39
break,39
check,39
wake,39
pick,39
dropped,39
rich,39
leadership,39
europe,39
perfect,38
though,38
died,38
bit,38
quite,38
top,38
finish,38
experience,38
bot,38
rate,38
military,38
supporter,37
aged,37
trust,37
close,37
folk,37
killed,37
bless,37
important,37
supporting,37
laugh,37
brought,37
seriously,37
disgusting,37
address,37
greatest,36
honestly,36
protect,36
showing,36
arent,36
older,36
afghanistan,36
telling,36
choose,36
climate,36
lead,36
foreign,36
happy,36
heard,35
failure,35
illegals,35
laughing,35
play,35
exactly,35
turned,35
racist,35
loser,35
truly,35
difference,35
men,35
send,35
giving,35
strongest,35
east,35
speaking,35
forced,35
approve,35
hamas,35
cnn,35
ball,34
glad,34
bike,34
baby,34
dumb,34
jesus,34
current,34
destroyed,34
city,34
jail,34
prison,34
k,34
f,34
mention,34
reality,34
medias,34
shit,34
ballot,33
diaper,33
golf,33
alien,33
van,33
became,33
crooked,33
school,33
potus,33
thinking,33
whatever,33
debt,33
created,33
incompetent,33
majority,33
health,33
statement,33
safe,33
sending,33
threat,33
li,33
honest,32
happens,32
fun,32
easy,32
constitution,32
lord,32
especially,32
pro,32
destroying,32
clinton,32
opponent,32
lied,32
afford,32
reading,32
passed,32
retire,32
midas,32
israeli,32
meidastouch,32
audience,32
air,32
peaceful,32
hsien,32
loong,32
paying,31
damn,31
bush,31
hasnt,31
fix,31
absolute,31
front,31
bunch,31
however,31
huge,31
maga,31
needed,31
mighty,31
ticket,31
funding,31
excellent,31
add,30
nursing,30
falling,30
obviously,30
picture,30
liberal,30
dangerous,30
later,30
security,30
car,30
seem,30
opinion,30
along,30
enemy,30
speaks,30
terrorist,30
found,30
fighting,30
write,30
abortion,30
