Palabra,Frecuencia,Sentimiento
trump,2486,Positiva
wa,906,Neutral
people,661,Neutral
like,621,Positiva
president,521,Neutral
biden,458,Neutral
dont,433,Neutral
get,425,Neutral
would,405,Neutral
one,402,Neutral
know,382,Neutral
time,352,Neutral
vote,338,Neutral
need,318,Neutral
america,317,Neutral
say,298,Neutral
man,297,Neutral
u,296,Neutral
want,293,Neutral
god,287,Neutral
going,280,Neutral
even,271,Neutral
american,267,Neutral
go,266,Neutral
think,262,Neutral
make,256,Neutral
country,253,Neutral
donald,250,Neutral
court,242,Neutral
love,237,Positiva
see,232,Neutral
guy,232,Neutral
cant,229,Neutral
right,227,Positiva
never,221,Neutral
im,213,Neutral
thats,211,Neutral
year,211,Neutral
world,204,Neutral
election,203,Neutral
way,199,Neutral
thing,197,Neutral
look,196,Neutral
day,190,Neutral
good,182,Positiva
let,182,Neutral
doe,179,Neutral
didnt,178,Neutral
win,175,Positiva
back,174,Neutral
democrat,174,Neutral
really,174,Neutral
life,171,Neutral
said,169,Neutral
great,169,Positiva
doesnt,168,Neutral
put,168,Neutral
family,165,Neutral
take,163,Neutral
nothing,163,Neutral
could,162,Neutral
lie,161,Negativa
joe,157,Neutral
money,156,Neutral
woman,152,Neutral
show,151,Neutral
still,145,Neutral
ever,145,Neutral
anything,142,Neutral
keep,141,Neutral
much,140,Neutral
got,137,Neutral
news,134,Neutral
criminal,134,Negativa
person,130,Neutral
old,130,Neutral
every,128,Neutral
war,128,Neutral
jail,124,Neutral
judge,123,Neutral
medium,122,Neutral
come,122,Neutral
real,121,Neutral
well,121,Positiva
care,120,Neutral
believe,120,Neutral
state,120,Neutral
many,117,Neutral
shot,117,Neutral
first,116,Neutral
dog,116,Neutral
stop,114,Neutral
anyone,111,Neutral
republican,111,Neutral
give,111,Neutral
law,110,Neutral
someone,108,Neutral
also,108,Neutral
video,108,Neutral
harris,105,Neutral
always,102,Neutral
everyone,100,Neutral
better,100,Positiva
best,99,Positiva
please,99,Neutral
another,98,Neutral
usa,97,Neutral
something,97,Neutral
fact,96,Neutral
crime,96,Negativa
service,96,Neutral
kamala,95,Neutral
trying,95,Neutral
talk,95,Neutral
secret,95,Neutral
mean,94,Neutral
tell,94,Neutral
truth,94,Neutral
talking,94,Neutral
done,94,Neutral
youre,91,Neutral
actually,90,Neutral
job,89,Neutral
away,89,Neutral
work,89,Positiva
saying,89,Neutral
power,89,Neutral
word,89,Neutral
case,89,Neutral
must,88,Neutral
party,88,Neutral
garbage,87,Negativa
isnt,86,Neutral
everything,86,Neutral
new,85,Neutral
black,84,Neutral
lawyer,84,Neutral
kid,84,Neutral
yet,84,Neutral
wrong,83,Negativa
white,82,Neutral
thank,82,Positiva
whole,81,Neutral
sure,81,Neutral
leader,81,Neutral
bad,81,Negativa
hope,80,Neutral
voting,80,Neutral
lol,80,Neutral
office,80,Neutral
support,80,Positiva
already,80,Neutral
trial,80,Neutral
around,79,Neutral
made,79,Neutral
help,79,Neutral
theyre,78,Neutral
pay,77,Neutral
shooter,77,Neutral
getting,76,Neutral
child,76,Neutral
speech,76,Neutral
na,76,Neutral
bless,76,Positiva
run,76,Neutral
mr,75,Neutral
government,75,Neutral
without,75,Neutral
maga,74,Neutral
gun,74,Neutral
yes,74,Neutral
big,74,Neutral
lot,74,Neutral
stupid,73,Negativa
prison,73,Negativa
wont,73,Neutral
question,73,Neutral
roof,73,Neutral
fake,72,Negativa
left,72,Neutral
maybe,71,Neutral
end,71,Neutral
hell,71,Negativa
face,71,Neutral
try,70,Neutral
joke,70,Negativa
supporter,70,Positiva
funny,69,Negativa
problem,69,Negativa
change,68,Neutral
call,68,Neutral
last,67,Neutral
far,66,Neutral
true,66,Neutral
wasnt,66,Neutral
seen,66,Neutral
head,65,Neutral
obama,65,Neutral
probably,65,Neutral
house,64,Neutral
long,64,Neutral
campaign,64,Neutral
name,64,Neutral
gon,64,Neutral
poll,64,Neutral
stand,63,Neutral
corrupt,63,Negativa
else,63,Neutral
democracy,63,Neutral
supreme,62,Positiva
hand,62,Neutral
hate,62,Negativa
