Palabra,Frecuencia,Sentimiento
trump,779,Positiva
vance,492,Neutral
wa,303,Neutral
jd,300,Neutral
people,274,Neutral
like,238,Positiva
president,175,Neutral
vote,154,Neutral
would,145,Neutral
america,141,Neutral
dont,136,Neutral
guy,134,Neutral
american,130,Neutral
u,130,Neutral
know,124,Neutral
make,118,Neutral
god,118,Neutral
want,116,Neutral
one,116,Neutral
great,114,Positiva
get,111,Neutral
right,108,Positiva
woman,106,Neutral
vp,106,Neutral
man,105,Neutral
think,101,Neutral
country,98,Neutral
im,96,Neutral
good,96,Positiva
say,95,Neutral
go,94,Neutral
time,89,Neutral
see,87,Neutral
never,82,Neutral
biden,82,Neutral
need,80,Neutral
love,79,Positiva
look,79,Neutral
even,78,Neutral
way,77,Neutral
pick,75,Neutral
year,75,Neutral
really,74,Neutral
donald,72,Neutral
democrat,71,Neutral
kamala,71,Neutral
harris,69,Neutral
said,69,Neutral
cant,68,Neutral
thing,67,Neutral
state,67,Neutral
republican,64,Neutral
well,64,Positiva
thats,62,Neutral
let,61,Neutral
lie,60,Negativa
also,60,Neutral
take,58,Neutral
doe,57,Neutral
party,55,Neutral
job,54,Neutral
going,53,Neutral
news,53,Neutral
doesnt,53,Neutral
fact,52,Neutral
ever,51,Neutral
person,50,Neutral
someone,50,Neutral
didnt,49,Neutral
work,49,Positiva
name,49,Neutral
could,49,Neutral
question,49,Neutral
medium,49,Neutral
wife,49,Neutral
first,48,Neutral
war,48,Neutral
better,47,Positiva
win,47,Positiva
many,47,Neutral
much,46,Neutral
voting,46,Neutral
show,45,Neutral
back,45,Neutral
debate,45,Neutral
hate,44,Negativa
interview,44,Neutral
cnn,44,Neutral
ohio,43,Neutral
real,42,Neutral
best,42,Positiva
white,42,Neutral
election,42,Neutral
left,41,Neutral
world,41,Neutral
law,40,Neutral
still,40,Neutral
vice,40,Negativa
walz,40,Neutral
word,40,Neutral
another,40,Neutral
support,39,Positiva
actually,39,Neutral
hope,39,Neutral
care,39,Neutral
men,38,Neutral
keep,38,Neutral
two,38,Neutral
power,38,Neutral
penny,38,Neutral
call,38,Neutral
believe,37,Neutral
hitler,37,Neutral
choice,37,Neutral
change,37,Neutral
nothing,37,Neutral
day,37,Neutral
come,37,Neutral
wrong,36,Negativa
child,36,Neutral
lol,36,Neutral
running,36,Neutral
vances,36,Neutral
trying,36,Neutral
bless,36,Positiva
family,36,Neutral
true,35,Neutral
candidate,35,Neutral
anyone,35,Neutral
friend,35,Neutral
yes,34,Neutral
maga,34,Neutral
called,34,Neutral
bad,34,Negativa
every,34,Neutral
stand,34,Neutral
isnt,33,Neutral
always,33,Neutral
got,33,Neutral
money,33,Neutral
far,33,Neutral
help,33,Neutral
talk,33,Neutral
life,32,Neutral
saying,32,Neutral
youre,32,Neutral
usa,32,Neutral
abortion,32,Neutral
give,31,Neutral
please,31,Neutral
tell,31,Neutral
new,31,Neutral
united,31,Neutral
anything,31,Neutral
bolton,31,Neutral
politician,30,Neutral
lot,30,Neutral
picked,30,Neutral
speech,30,Neutral
point,30,Neutral
mean,30,Neutral
answer,30,Neutral
hard,30,Negativa
put,29,Neutral
immigrant,29,Neutral
face,29,Neutral
watch,29,Neutral
oh,29,Neutral
fake,29,Negativa
na,28,Neutral
vivek,28,Neutral
shes,28,Neutral
joke,28,Negativa
nation,28,Neutral
stop,28,Neutral
stupid,28,Negativa
away,27,Neutral
made,27,Neutral
sure,27,Neutral
house,27,Neutral
maybe,27,Neutral
thank,27,Positiva
liar,26,Negativa
future,26,Neutral
journalist,26,Neutral
may,26,Neutral
wont,26,Neutral
live,26,Neutral
next,26,Neutral
free,25,Positiva
black,25,Neutral
something,25,Neutral
already,25,Neutral
truth,25,Neutral
policy,25,Neutral
talking,25,Neutral
theyre,25,Neutral
joe,25,Neutral
father,25,Neutral
changed,24,Neutral
enough,24,Positiva
everyone,24,Neutral
blue,24,Neutral
everything,24,Neutral
weird,24,Negativa
feel,24,Neutral
become,24,Neutral
must,24,Neutral
big,24,Neutral
dems,24,Neutral
wow,23,Positiva
working,23,Neutral
without,23,Neutral
comment,23,Neutral
political,23,Neutral
mind,23,Neutral
sense,23,Neutral
politics,23,Neutral
democracy,23,Neutral
done,22,Neutral
run,22,Neutral
try,22,Neutral
wasnt,22,Neutral
presidential,22,Neutral
pay,22,Neutral
last,22,Neutral
wait,22,Neutral
history,22,Neutral
old,22,Neutral
tim,22,Neutral
mr,22,Neutral
lying,22,Negativa
lady,22,Neutral
lost,22,Negativa
indian,22,Neutral
gon,21,Neutral
use,21,Neutral
horrible,21,Negativa
reason,21,Neutral
remember,21,Neutral
used,21,Neutral
military,21,Neutral
video,21,Neutral
kid,21,Neutral
side,21,Neutral
sound,21,Neutral
heard,21,Neutral
opinion,21,Neutral
full,21,Neutral
high,21,Neutral
young,20,Neutral
