weight,word
161,lie
134,criminal
96,crime
87,garbage
83,wrong
81,bad
73,stupid
73,prison
72,fake
71,hell
70,joke
69,funny
69,problem
63,corrupt
62,hate
61,crook
57,lying
54,poor
53,idiot
52,liar
51,lost
50,hard
50,evil
50,sorry
49,crazy
48,racist
47,sad
46,shit
45,sick
40,loser
40,disgusting
40,conspiracy
39,traitor
39,guilty
37,dumb
37,worst
36,dead
35,fool
35,illegal
35,lose
35,fear
34,fall
34,issue
34,worse
33,fraud
33,death
33,dictator
33,break
32,threat
31,cry
29,false
28,lack
28,damn
28,falling
27,ridiculous
27,pathetic
27,shame
26,kill
25,cheat
25,crap
25,died
24,dangerous
24,felon
23,insane
23,blame
23,failed
23,enemy
22,trash
22,killed
22,corruption
22,interference
21,puppet
20,moron
20,lied
20,attack
20,loss
20,stormy
19,horrible
19,conservative
19,smell
19,killing
19,disgrace
19,die
19,destroy
18,propaganda
18,tired
18,cold
18,protest
17,stupidity
17,weird
17,opponent
17,nonsense
17,missed
16,waste
16,excuse
16,doubt
16,failure
16,disabled
16,losing
15,worry
15,bully
15,ignorant
15,incompetent
14,desperate
14,vice
14,danger
14,devil
14,absurd
14,suck
14,contempt
14,breaking
13,cheating
13,unbelievable
13,loses
13,awful
13,trouble
13,chaos
13,steal
13,killer
13,insanity
13,violation
12,weak
12,scared
12,whining
12,bullshit
12,crooked
12,dump
12,fail
12,loose
11,limit
11,racism
11,scary
11,authoritarian
11,senile
11,shocked
11,fucking
11,blind
11,hurt
11,mistake
11,boring
11,delay
10,miss
10,afraid
10,screwed
10,hatred
10,miserable
10,impossible
10,embarrassment
10,angry
10,slow
10,fault
10,hated
10,delusional
9,destruction
9,disaster
9,addict
9,badly
9,murder
9,loud
9,madness
9,debt
9,stole
9,confused
9,stolen
9,damage
9,sue
9,mad
9,mess
9,terrible
9,suspect
9,corrupted
9,unconstitutional
9,assassin
8,violent
8,fascist
8,negative
8,difficult
8,wasted
8,mocking
8,broke
8,vile
8,stealing
8,risk
8,fallen
8,stunt
8,dark
8,suspicious
8,creep
8,broken
8,messed
8,prosecute
8,refuse
8,blow
8,ignore
8,drain
8,complaining
8,fraudulent
8,coward
7,drag
7,cancer
7,shock
7,strange
7,ruin
7,stuck
7,monster
7,abuse
7,critical
7,hater
7,blatant
7,cheated
7,overthrow
7,hypocrisy
7,fell
7,scream
7,genocide
7,bogus
7,suffering
7,hoax
7,concerned
7,dislike
7,wild
7,toxic
7,fist
6,dirty
6,ruined
6,disgraceful
6,nasty
6,sucker
6,doomed
6,wicked
6,assault
6,hang
6,mocked
6,bomb
6,bother
6,heck
6,greedy
6,guilt
6,insult
6,illegally
6,crack
6,struggle
6,fat
6,accusation
6,ashamed
6,concern
6,confession
6,cheap
6,incapable
6,treason
6,undermine
6,dishonest
6,creepy
6,nightmare
6,pain
6,complain
6,illness
6,silly
6,suffer
6,rape
6,rip
6,hypocrite
6,demon
6,bothered
6,refused
6,stink
6,rhetoric
6,loot
6,incompetence
6,wound
5,unstable
5,hack
5,shameful
5,terrorism
5,fuck
5,trick
5,fascism
5,conflict
5,smack
5,offensive
5,crisis
5,hateful
5,biased
5,unfit
5,despicable
5,emergency
5,insurrection
5,freaking
5,disturbing
5,slave
5,lame
5,persecution
5,outrageous
5,collapse
5,disrespectful
5,severe
5,fooled
5,penalty
5,disagree
5,annoying
5,delayed
5,sadly
5,filthy
5,sham
5,twisted
5,unrest
5,extremist
5,embarrassing
5,injury
5,pig
5,dying
5,bored
5,pretend
5,bias
5,unfortunately
5,undermining
5,explosive
4,failing
4,reckless
4,gross
4,immature
4,childish
4,hypocritical
4,outrage
4,reject
4,useless
4,deluded
4,insulted
4,deny
4,ploy
4,manipulation
4,sued
4,unable
4,struggling
4,lunatic
4,denying
4,limited
4,greed
4,poison
4,bent
4,protesting
4,tragedy
4,miscalculation
4,whine
4,worried
4,falsehood
4,ranting
4,ugly
