weight,word
228,lie
187,joke
150,bad
144,worst
109,criminal
101,genocide
99,funny
94,crime
89,issue
87,problem
87,corrupt
87,worse
86,fake
85,wrong
85,illegal
83,sad
83,hard
83,lying
81,hate
80,puppet
77,idiot
76,dictator
75,stupid
72,lost
71,liar
66,hell
60,evil
58,crazy
57,fool
56,poor
55,fall
55,protest
55,stern
53,dead
52,sorry
52,sick
52,senile
52,cry
49,lose
48,pathetic
48,shame
46,traitor
45,crisis
44,terrible
44,vice
42,fraud
41,death
41,failed
41,weak
41,propaganda
40,destroy
39,break
38,died
37,killed
37,disgusting
35,failure
35,racist
35,loser
34,dumb
34,prison
34,shit
33,crooked
33,debt
33,incompetent
33,threat
32,opponent
32,lied
31,damn
30,falling
30,dangerous
30,enemy
30,attack
29,blame
29,abuse
29,disgrace
29,delusional
29,mess
29,decline
29,dark
27,fear
27,crap
26,embarrassment
26,fault
26,corruption
26,damage
26,chaos
25,confused
25,killing
25,excuse
25,trash
24,doubt
24,dislike
23,disaster
23,conflict
23,fascist
22,steal
22,die
22,ridiculous
22,losing
