weight,word
179,lie
113,hate
106,fake
101,lost
94,joke
90,bad
89,sad
79,stupid
70,dumb
69,vice
67,illegal
65,wrong
65,funny
65,shit
61,puppet
59,hell
59,idiot
59,hard
52,criminal
51,embarrassing
51,damn
50,lying
49,crazy
49,crime
48,garbage
48,worst
47,pathetic
46,evil
45,fool
44,poor
42,problem
41,liar
40,shame
40,racist
40,sorry
40,issue
37,lied
36,desperate
32,mess
32,prison
32,lose
31,worse
31,dictator
31,fall
30,propaganda
29,disgusting
29,nervous
29,ignorant
29,dark
28,sick
28,trash
28,cringe
27,loser
26,broke
26,ridiculous
25,corrupt
25,terrible
25,felon
25,fear
24,horrible
24,disaster
24,worry
23,failed
22,weak
22,moron
21,blame
20,miss
20,dead
20,destroy
20,crap
20,weird
20,delusional
19,enemy
19,embarrassment
19,nonsense
19,incompetent
19,killed
19,died
19,slave
19,bully
19,cry
19,death
18,fraud
18,devil
18,fascist
18,fuck
17,dump
17,disappointed
17,genocide
17,blind
17,killing
17,expensive
16,hatred
16,break
16,insane
15,dangerous
15,disgrace
15,hater
14,opponent
14,false
14,corruption
14,doubt
14,screwed
14,scared
13,nasty
13,conservative
13,pretend
13,racism
13,ruined
12,crisis
12,confused
12,waste
12,traitor
12,failure
12,ruin
12,unfortunately
12,die
12,stealing
12,fucking
12,lack
11,insult
11,violent
11,debt
11,kill
11,cheating
11,mistake
11,demon
11,attack
11,fooled
11,struggling
11,phony
11,struggle
10,wild
10,cheat
10,negative
10,gross
10,loses
10,steal
10,drunk
10,suck
10,shocked
10,freaking
10,mad
10,trouble
10,dirt
