weight,word
142,weird
103,lie
85,garbage
71,joke
53,bad
49,hate
48,issue
46,liar
46,vice
42,fake
40,stupid
39,lying
38,idiot
38,problem
36,lied
35,funny
33,wrong
32,racist
29,trash
26,worst
26,crime
26,illegal
24,hell
24,poor
24,stolen
23,disgusting
23,hard
22,sad
21,burn
21,worse
18,insult
18,creepy
18,sorry
17,dangerous
17,criminal
16,evil
16,lack
15,attack
15,loser
15,disaster
15,cry
14,mad
14,crazy
14,break
14,destroy
14,coward
14,pathetic
14,lost
13,waste
13,death
13,failure
13,sick
13,damn
13,fraud
12,blame
12,fool
12,creep
12,disgrace
11,losing
11,hypocrite
11,loss
11,dead
11,prison
11,rhetoric
11,ridiculous
11,horrible
11,false
11,phony
11,shame
11,hurt
11,dumb
10,felon
10,smell
10,trouble
10,fear
10,crap
10,cringe
10,doubt
10,stupidest
10,conspiracy
9,delusional
9,insane
9,damage
9,chaos
9,hatred
9,propaganda
9,lose
9,moron
9,crisis
8,bias
8,opponent
8,danger
8,radical
8,freak
8,worry
8,loud
8,nonsense
8,corrupt
8,conservative
8,killed
