weight,word
237,love
227,right
182,good
175,win
169,great
121,well
100,better
99,best
89,work
82,thank
80,support
76,bless
70,supporter
62,supreme
60,enough
54,peace
54,wonder
52,free
43,beautiful
41,protect
41,wow
35,strong
34,respect
34,amazing
32,trust
30,freedom
27,important
27,smart
26,happy
26,clear
25,winning
25,promise
24,top
24,rich
24,pretty
23,clearly
23,nice
23,protection
22,fine
21,supporting
21,glad
19,fun
19,proud
18,interesting
18,easy
18,perfect
17,lead
16,hilarious
16,safe
16,fair
16,ready
14,appeal
14,honest
14,praise
14,helped
14,benefit
14,hero
14,favor
14,popular
13,luck
13,correct
13,powerful
12,greatest
12,humor
12,secure
12,decent
12,fast
12,pure
12,proven
12,glory
11,hot
11,worked
11,tough
11,loved
11,quiet
11,intelligence
11,holy
10,worth
10,wisdom
10,gold
10,led
10,afford
10,fantastic
9,cool
9,prosperity
9,gain
9,regard
9,wonderful
9,helping
9,miracle
9,master
8,perfectly
8,clean
8,willing
8,qualified
8,stronger
8,cheer
8,peaceful
8,modern
8,loving
