Palabra,Donald Trump,James David Vance,Joe Biden,Kamala Harris,Tim Walz
TOTAL,5037,2264,8408,7266,3394
like,621,238,799,656,354
love,237,79,423,433,204
great,169,114,408,257,137
right,227,108,321,272,128
good,182,96,253,219,97
happy,26,6,36,35,83
well,121,64,218,183,74
joy,3,3,2,32,68
best,99,42,215,128,67
thank,82,27,304,275,66
win,175,47,196,184,62
better,100,47,236,163,61
work,89,49,143,149,60
support,80,39,178,140,59
free,52,25,114,86,41
freedom,30,16,44,76,40
wow,41,23,80,108,32
rich,24,10,39,86,32
respect,34,12,71,96,30
supporter,70,12,37,43,28
fun,19,3,32,28,28
proud,19,13,53,120,27
swift,5,1,1,9,26
enough,60,24,98,75,23
beautiful,43,10,17,80,22
smart,27,20,22,35,21
clearly,23,18,43,32,21
pretty,24,11,53,29,20
hot,11,2,10,13,19
valor,0,0,0,0,19
wonder,54,12,73,55,18
amazing,34,18,59,53,18
trust,32,19,37,53,18
top,24,11,38,43,18
glad,21,7,34,29,18
super,5,6,15,12,18
important,27,9,37,48,17
clear,26,5,44,37,17
honest,14,12,32,27,17
nice,23,11,57,65,16
bless,76,36,37,35,16
awesome,8,8,47,31,16
supporting,21,13,37,50,15
tough,11,4,6,4,15
peace,54,11,57,35,14
promise,25,7,16,30,14
afford,10,3,32,25,14
cool,9,0,12,25,14
worked,11,14,19,18,14
perfect,18,10,38,28,13
favorite,4,4,14,26,13
genuine,3,2,4,18,13
winning,25,4,14,19,12
fair,16,10,19,9,12
affordable,4,1,4,5,12
lead,17,6,36,31,11
benefit,14,5,22,22,11
sweet,6,2,5,5,11
wholesome,1,0,1,2,11
loved,11,2,24,43,10
protect,41,15,36,40,10
strong,35,14,51,25,10
welcome,4,6,11,9,10
pride,5,1,6,9,10
progressive,3,0,19,4,10
endorsement,2,2,5,85,9
wonderful,9,6,27,22,9
smile,7,5,13,21,9
interesting,18,4,20,19,9
helped,14,1,13,10,9
clean,8,7,9,9,9
secure,12,9,12,7,9
hero,14,3,18,26,8
worth,10,4,18,16,8
easy,18,7,32,14,8
qualified,8,5,15,13,8
pure,12,2,8,13,8
decent,12,11,24,12,8
excited,3,4,11,11,8
correct,13,2,11,9,8
successful,7,7,15,5,8
intelligent,5,16,18,33,7
endorsed,2,1,11,32,7
hilarious,16,8,29,24,7
promised,6,2,21,18,7
appreciate,5,6,22,16,7
unity,6,2,8,14,7
fine,22,6,29,13,7
educated,2,4,13,12,7
refreshing,0,4,10,10,7
master,9,2,15,5,7
lucky,8,2,8,2,7
endorsing,4,0,4,62,6
elite,7,7,21,42,6
safe,16,7,33,15,6
helping,9,3,18,13,6
wealthy,4,3,5,13,6
loving,8,7,11,12,6
enjoy,5,2,20,10,6
faith,7,5,9,9,6
blessing,6,4,11,8,6
proper,5,5,7,7,6
fantastic,10,5,13,6,6
decency,1,2,10,5,6
sane,4,1,10,5,6
appeal,14,4,5,3,6
ready,16,6,29,36,5
famous,5,1,7,21,5
intelligence,11,9,9,18,5
lovely,3,6,2,17,5
humble,6,5,6,14,5
willing,8,3,18,13,5
honor,7,3,11,13,5
greatest,12,8,36,12,5
smarter,3,5,3,12,5
luck,13,5,9,11,5
liked,5,5,6,9,5
humor,12,2,46,8,5
leading,5,4,24,6,5
mercy,5,5,9,6,5
incredible,7,5,14,5,5
skill,4,4,10,5,5
comfortable,1,1,6,4,5
inspiring,0,2,5,4,5
wisdom,10,2,45,2,5
reform,2,1,7,1,5
powerful,13,2,21,28,4
supreme,62,4,18,19,4
positive,1,7,23,17,4
authentic,2,0,2,14,4
victory,3,1,18,11,4
advantage,7,0,12,10,4
protection,23,7,11,9,4
hug,6,1,3,8,4
