Palabra,Frecuencia
trump,1290
kamala,1076
people,974
vote,943
harris,910
wa,769
like,656
president,644
cardi,598
dont,564
u,492
american,462
america,447
love,433
one,430
b,423
country,421
know,415
woman,402
im,397
black,396
get,387
harrison,382
year,377
want,366
ford,362
shes,345
make,335
need,334
would,331
say,295
cant,292
go,287
even,282
time,276
thank,275
see,273
right,272
think,266
going,260
great,257
democrat,257
celebrity,246
world,236
let,234
said,230
look,229
voting,226
thats,223
good,219
way,216
got,214
biden,208
never,206
obama,205
thing,203
real,201
speech,199
much,198
really,198
jamaican,192
come,185
win,184
well,183
care,181
lie,179
life,179
nothing,177
believe,177
back,175
lol,173
many,173
party,171
doesnt,170
take,166
actor,166
man,164
better,163
state,156
person,152
war,151
didnt,150
work,149
blue,146
guy,146
indian,146
please,144
word,143
family,142
doe,141
voted,140
support,140
always,139
election,138
also,136
men,136
another,136
hollywood,136
money,134
video,134
first,134
done,133
keep,133
god,132
still,132
last,132
tell,132
million,130
day,128
best,128
someone,127
job,125
give,125
diddy,123
every,122
talk,122
youre,122
donald,121
proud,120
white,118
paid,118
could,117
high,116
ever,116
speak,116
show,115
child,115
everyone,114
candidate,114
jamaica,114
hate,113
listen,113
border,112
made,111
yall,110
usa,109
wow,108
talking,108
father,108
stop,107
mr,107
fake,106
everything,103
democracy,103
lost,101
old,100
law,99
bruce,99
saying,98
anything,98
side,97
bos,97
office,96
respect,96
hope,95
anyone,95
joke,94
joe,94
change,94
yes,93
lot,92
put,92
rally,91
mean,91
phone,90
help,90
bad,90
must,89
something,89
sad,89
vp,87
rich,86
united,86
pay,86
free,86
watch,86
live,86
thought,86
next,85
policy,85
endorsement,85
thanks,84
comment,84
class,84
politics,84
new,83
campaign,83
read,82
call,82
inflation,82
race,82
tax,82
isnt,81
oh,81
beautiful,80
already,80
stupid,79
house,79
mind,79
republican,79
without,79
save,78
price,78
getting,77
medium,76
freedom,76
enough,75
clown,75
government,75
true,75
fact,74
big,74
political,73
girl,73
movie,73
remember,72
economy,72
run,72
na,72
walz,71
two,71
feel,70
matter,70
dumb,70
seen,69
vice,69
history,69
together,69
teleprompter,69
future,69
sure,68
point,68
lady,68
star,68
laugh,67
illegal,67
trying,67
middle,67
speaking,67
since,67
name,66
may,66
left,66
wrong,65
funny,65
watching,65
nice,65
actually,65
voter,65
truth,65
shit,65
full,64
power,64
leader,64
hear,64
working,64
abortion,64
living,64
heart,64
home,64
bring,63
theyre,63
nation,63
literally,62
ive,62
grocery,62
endorsing,62
sound,61
puppet,61
whole,61
stand,61
open,61
immigrant,60
baby,60
kamalas,60
coming,60
become,60
gon,59
ago,59
hell,59
friend,59
wont,59
idiot,59
hard,59
part,58
mother,58
away,58
sense,58
used,58
stripper,58
question,57
voice,57
wait,57
endorse,57
solo,57
choice,56
citizen,56
opinion,56
else,56
end,56
color,56
around,55
four,55
face,55
wonder,55
stage,55
making,55
interview,54
trust,53
reason,53
amazing,53
music,53
heard,52
control,52
criminal,52
whats,52
place,52
harriswalz,52
told,52
list,52
try,52
embarrassing,51
wake,51
administration,51
half,51
damn,51
th,51
absolutely,51
running,51
rule,51
food,50
lying,50
supporting,50
yet,50
understand,50
crazy,49
crime,49
message,49
yeah,49
garbage,48
little,48
called,48
kind,48
worst,48
important,48
african,48
jones,48
pathetic,47
hand,47
human,47
stay,46
came,46
democratic,46
evil,46
science,46
brain,46
thinking,46
reading,46
presidential,45
wasnt,45
body,45
turn,45
maga,45
either,45
check,45
use,45
fool,45
behind,44
wish,44
cost,44
fight,44
jesus,44
poor,44
born,44
politician,43
supporter,43
view,43
loved,43
top,43
dollar,43
instead,43
aint,43
past,43
moment,43
indiana,43
long,42
mouth,42
elite,42
dems,42
taking,42
wouldnt,42
public,42
problem,42
normal,41
different,41
telling,41
liar,41
agree,41
young,41
find,41
others,41
shame,40
minute,40
racist,40
sorry,40
script,40
idea,40
using,40
lord,40
drug,40
kid,40
far,40
issue,40
protect,40
three,40
arent,40
plan,39
school,39
fan,39
least,38
nobody,38
head,38
listening,38
acting,38
though,38
today,38
lied,37
ask,37
clear,37
former,37
maybe,36
cut,36
ready,36
act,36
barack,36
imagine,36
laughing,36
desperate,36
guess,36
answer,35
peace,35
illegals,35
smart,35
etc,35
happy,35
force,35
bless,35
soon,35
couldnt,35
reality,35
ppl,35
wap,35
brown,34
hasnt,34
daughter,34
red,34
tape,34
ok,34
madam,34
community,34
husband,34
wanted,33
giving,33
definitely,33
intelligent,33
gas,33
elected,33
communist,33
line,33
vance,33
speaks,32
went,32
start,32
mess,32
prison,32
serious,32
looking,32
lose,32
joy,32
owen,32
ill,32
clearly,32
endorsed,32
p,31
worse,31
crowd,31
dictator,31
le,31
truly,31
seems,31
awesome,31
lead,31
paying,31
security,31
constitution,31
decision,31
f,31
fall,31
nazi,31
elon,31
almost,31
springsteen,31
drugging,31
news,30
propaganda,30
able,30
anymore,30
story,30
common,30
forget,30
jail,30
promise,30
police,30
business,30
single,30
bill,30
completely,30
folk,30
might,29
week,29
happened,29
team,29
ballot,29
pretty,29
entire,29
disgusting,29
report,29
belief,29
glad,29
nervous,29
ignorant,29
female,29
saw,29
however,29
dark,29
root,29
jamesawhitney,29
sick,28
presidency,28
omg,28
yr,28
fun,28
whatever,28
wtf,28
eye,28
social,28
based,28
trash,28
perfect,28
cringe,28
powerful,28
china,28
tim,27
started,27
honest,27
research,27
liberal,27
wrote,27
realize,27
especially,27
loser,27
wife,27
cause,27
n,27
second,27
culture,27
blood,27
mixed,27
skin,27
epstein,27
shut,26
huge,26
island,26
allowed,26
christian,26
california,26
including,26
month,26
gun,26
age,26
debate,26
term,26
front,26
v,26
favorite,26
spoke,26
hey,26
gave,26
character,26
india,26
broke,26
ridiculous,26
course,26
interest,26
hero,26
millionaire,26
stuff,25
rest,25
early,25
straight,25
corrupt,25
move,25
walk,25
terrible,25
strong,25
deal,25
afford,25
rather,25
felon,25
parent,25
identity,25
self,25
close,25
follow,25
fear,25
cool,25
earth,25
seeing,25
dream,25
ad,25
horrible,24
soul,24
bunch,24
action,24
leave,24
hilarious,24
disaster,24
value,24
took,24
level,24
billion,24
involved,24
fix,24
totally,24
shouldnt,24
spent,24
id,24
worry,24
song,24
influence,24
health,24
write,24
touch,24
admitted,24
probably,23
pray,23
failed,23
current,23
smh,23
background,23
youtube,23
town,23
honestly,23
continue,23
