Palabra,Frecuencia,Sentimiento
trump,1290,Positiva
kamala,1076,Neutral
people,974,Neutral
vote,943,Neutral
harris,910,Neutral
wa,769,Neutral
like,656,Positiva
president,644,Neutral
cardi,598,Neutral
dont,564,Neutral
u,492,Neutral
american,462,Neutral
america,447,Neutral
love,433,Positiva
one,430,Neutral
b,423,Neutral
country,421,Neutral
know,415,Neutral
woman,402,Neutral
im,397,Neutral
black,396,Neutral
get,387,Neutral
harrison,382,Neutral
year,377,Neutral
want,366,Neutral
ford,362,Neutral
shes,345,Neutral
make,335,Neutral
need,334,Neutral
would,331,Neutral
say,295,Neutral
cant,292,Neutral
go,287,Neutral
even,282,Neutral
time,276,Neutral
thank,275,Positiva
see,273,Neutral
right,272,Positiva
think,266,Neutral
going,260,Neutral
great,257,Positiva
democrat,257,Neutral
celebrity,246,Neutral
world,236,Neutral
let,234,Neutral
said,230,Neutral
look,229,Neutral
voting,226,Neutral
thats,223,Neutral
good,219,Positiva
way,216,Neutral
got,214,Neutral
biden,208,Neutral
never,206,Neutral
obama,205,Neutral
thing,203,Neutral
real,201,Neutral
speech,199,Neutral
much,198,Neutral
really,198,Neutral
jamaican,192,Neutral
come,185,Neutral
win,184,Positiva
well,183,Positiva
care,181,Neutral
lie,179,Negativa
life,179,Neutral
nothing,177,Neutral
believe,177,Neutral
back,175,Neutral
lol,173,Neutral
many,173,Neutral
party,171,Neutral
doesnt,170,Neutral
take,166,Neutral
actor,166,Neutral
man,164,Neutral
better,163,Positiva
state,156,Neutral
person,152,Neutral
war,151,Neutral
didnt,150,Neutral
work,149,Positiva
blue,146,Neutral
guy,146,Neutral
indian,146,Neutral
please,144,Neutral
word,143,Neutral
family,142,Neutral
doe,141,Neutral
voted,140,Neutral
support,140,Positiva
always,139,Neutral
election,138,Neutral
also,136,Neutral
men,136,Neutral
another,136,Neutral
hollywood,136,Neutral
money,134,Neutral
video,134,Neutral
first,134,Neutral
done,133,Neutral
keep,133,Neutral
god,132,Neutral
still,132,Neutral
last,132,Neutral
tell,132,Neutral
million,130,Neutral
day,128,Neutral
best,128,Positiva
someone,127,Neutral
job,125,Neutral
give,125,Neutral
diddy,123,Neutral
every,122,Neutral
talk,122,Neutral
youre,122,Neutral
donald,121,Neutral
proud,120,Positiva
white,118,Neutral
paid,118,Neutral
could,117,Neutral
high,116,Neutral
ever,116,Neutral
speak,116,Neutral
show,115,Neutral
child,115,Neutral
everyone,114,Neutral
candidate,114,Neutral
jamaica,114,Neutral
hate,113,Negativa
listen,113,Neutral
border,112,Neutral
made,111,Neutral
yall,110,Neutral
usa,109,Neutral
wow,108,Positiva
talking,108,Neutral
father,108,Neutral
stop,107,Neutral
mr,107,Neutral
fake,106,Negativa
everything,103,Neutral
democracy,103,Neutral
lost,101,Negativa
old,100,Neutral
law,99,Neutral
bruce,99,Neutral
saying,98,Neutral
anything,98,Neutral
side,97,Neutral
bos,97,Neutral
office,96,Neutral
respect,96,Positiva
hope,95,Neutral
anyone,95,Neutral
joke,94,Negativa
joe,94,Neutral
change,94,Neutral
yes,93,Neutral
lot,92,Neutral
put,92,Neutral
rally,91,Neutral
mean,91,Neutral
phone,90,Neutral
help,90,Neutral
bad,90,Negativa
must,89,Neutral
something,89,Neutral
sad,89,Negativa
vp,87,Neutral
rich,86,Positiva
united,86,Neutral
pay,86,Neutral
free,86,Positiva
watch,86,Neutral
live,86,Neutral
thought,86,Neutral
next,85,Neutral
policy,85,Neutral
endorsement,85,Positiva
thanks,84,Neutral
comment,84,Neutral
class,84,Neutral
politics,84,Neutral
new,83,Neutral
campaign,83,Neutral
read,82,Neutral
call,82,Neutral
inflation,82,Neutral
race,82,Neutral
tax,82,Neutral
isnt,81,Neutral
oh,81,Neutral
beautiful,80,Positiva
already,80,Neutral
stupid,79,Negativa
house,79,Neutral
mind,79,Neutral
republican,79,Neutral
without,79,Neutral
save,78,Neutral
price,78,Neutral
getting,77,Neutral
medium,76,Neutral
freedom,76,Positiva
enough,75,Positiva
clown,75,Neutral
government,75,Neutral
true,75,Neutral
fact,74,Neutral
big,74,Neutral
political,73,Neutral
girl,73,Neutral
movie,73,Neutral
remember,72,Neutral
economy,72,Neutral
run,72,Neutral
na,72,Neutral
walz,71,Neutral
two,71,Neutral
feel,70,Neutral
matter,70,Neutral
dumb,70,Negativa
seen,69,Neutral
vice,69,Negativa
history,69,Neutral
together,69,Neutral
teleprompter,69,Neutral
future,69,Neutral
sure,68,Neutral
point,68,Neutral
lady,68,Neutral
star,68,Neutral
laugh,67,Neutral
illegal,67,Negativa
trying,67,Neutral
middle,67,Neutral
speaking,67,Neutral
since,67,Neutral
name,66,Neutral
may,66,Neutral
left,66,Neutral
wrong,65,Negativa
funny,65,Negativa
watching,65,Neutral
nice,65,Positiva
actually,65,Neutral
voter,65,Neutral
truth,65,Neutral
shit,65,Negativa
full,64,Neutral
power,64,Neutral
leader,64,Neutral
hear,64,Neutral
working,64,Neutral
abortion,64,Neutral
living,64,Neutral
heart,64,Neutral
home,64,Neutral
bring,63,Neutral
theyre,63,Neutral
nation,63,Neutral
literally,62,Neutral
ive,62,Neutral
grocery,62,Neutral
endorsing,62,Positiva
sound,61,Neutral
puppet,61,Negativa
whole,61,Neutral
stand,61,Neutral
open,61,Neutral
immigrant,60,Neutral
baby,60,Neutral
kamalas,60,Neutral
coming,60,Neutral
become,60,Neutral
gon,59,Neutral
ago,59,Neutral
hell,59,Negativa
friend,59,Neutral
wont,59,Neutral
idiot,59,Negativa
hard,59,Negativa
part,58,Neutral
mother,58,Neutral
away,58,Neutral
sense,58,Neutral
used,58,Neutral
stripper,58,Neutral
question,57,Neutral
voice,57,Neutral
wait,57,Neutral
endorse,57,Positiva
solo,57,Neutral
choice,56,Neutral
citizen,56,Neutral
opinion,56,Neutral
else,56,Neutral
end,56,Neutral
color,56,Neutral
around,55,Neutral
four,55,Neutral
face,55,Neutral
wonder,55,Positiva
stage,55,Neutral
making,55,Neutral
interview,54,Neutral
trust,53,Positiva
reason,53,Neutral
amazing,53,Positiva
music,53,Neutral
heard,52,Neutral
control,52,Neutral
criminal,52,Negativa
whats,52,Neutral
place,52,Neutral
harriswalz,52,Neutral
told,52,Neutral
list,52,Neutral
try,52,Neutral
embarrassing,51,Negativa
wake,51,Neutral
administration,51,Neutral
half,51,Neutral
damn,51,Negativa
th,51,Neutral
absolutely,51,Neutral
running,51,Neutral
rule,51,Neutral
food,50,Neutral
lying,50,Negativa
supporting,50,Positiva
yet,50,Neutral
understand,50,Neutral
crazy,49,Negativa
crime,49,Negativa
message,49,Neutral
yeah,49,Neutral
garbage,48,Negativa
little,48,Neutral
called,48,Neutral
kind,48,Neutral
worst,48,Negativa
important,48,Positiva
african,48,Neutral
jones,48,Neutral
pathetic,47,Negativa
hand,47,Neutral
human,47,Neutral
stay,46,Neutral
came,46,Neutral
democratic,46,Neutral
evil,46,Negativa
science,46,Neutral
brain,46,Neutral
thinking,46,Neutral
reading,46,Neutral
presidential,45,Neutral
wasnt,45,Neutral
body,45,Neutral
turn,45,Neutral
maga,45,Neutral
either,45,Neutral
check,45,Neutral
use,45,Neutral
fool,45,Negativa
behind,44,Neutral
wish,44,Neutral
cost,44,Neutral
fight,44,Neutral
jesus,44,Neutral
poor,44,Negativa
born,44,Neutral
politician,43,Neutral
supporter,43,Positiva
view,43,Neutral
loved,43,Positiva
top,43,Positiva
dollar,43,Neutral
instead,43,Neutral
aint,43,Neutral
past,43,Neutral
moment,43,Neutral
indiana,43,Neutral
long,42,Neutral
mouth,42,Neutral
elite,42,Positiva
dems,42,Neutral
taking,42,Neutral
wouldnt,42,Neutral
public,42,Neutral
problem,42,Negativa
normal,41,Neutral
different,41,Neutral
telling,41,Neutral
liar,41,Negativa
agree,41,Neutral
young,41,Neutral
find,41,Neutral
others,41,Neutral
shame,40,Negativa
minute,40,Neutral
racist,40,Negativa
sorry,40,Negativa
script,40,Neutral
idea,40,Neutral
using,40,Neutral
lord,40,Neutral
drug,40,Neutral
kid,40,Neutral
far,40,Neutral
issue,40,Negativa
protect,40,Positiva
three,40,Neutral
arent,40,Neutral
plan,39,Neutral
school,39,Neutral
fan,39,Neutral
least,38,Neutral
nobody,38,Neutral
head,38,Neutral
listening,38,Neutral
acting,38,Neutral
though,38,Neutral
today,38,Neutral
lied,37,Negativa
ask,37,Neutral
clear,37,Positiva
former,37,Neutral
maybe,36,Neutral
cut,36,Neutral
ready,36,Positiva
act,36,Neutral
barack,36,Neutral
imagine,36,Neutral
laughing,36,Neutral
desperate,36,Negativa
guess,36,Neutral
answer,35,Neutral
peace,35,Positiva
illegals,35,Neutral
smart,35,Positiva
etc,35,Neutral
happy,35,Positiva
force,35,Neutral
bless,35,Positiva
soon,35,Neutral
couldnt,35,Neutral
reality,35,Neutral
ppl,35,Neutral
wap,35,Neutral
brown,34,Neutral
hasnt,34,Neutral
daughter,34,Neutral
red,34,Neutral
tape,34,Neutral
ok,34,Neutral
madam,34,Neutral
community,34,Neutral
husband,34,Neutral
wanted,33,Neutral
giving,33,Neutral
definitely,33,Neutral
intelligent,33,Positiva
gas,33,Neutral
elected,33,Neutral
communist,33,Neutral
line,33,Neutral
vance,33,Neutral
speaks,32,Neutral
went,32,Neutral
start,32,Neutral
mess,32,Negativa
prison,32,Negativa
serious,32,Neutral
looking,32,Neutral
lose,32,Negativa
joy,32,Positiva
owen,32,Neutral
ill,32,Neutral
clearly,32,Positiva
endorsed,32,Positiva
p,31,Neutral
worse,31,Negativa
crowd,31,Neutral
dictator,31,Negativa
le,31,Neutral
truly,31,Neutral
seems,31,Neutral
awesome,31,Positiva
lead,31,Positiva
paying,31,Neutral
security,31,Neutral
constitution,31,Neutral
decision,31,Neutral
f,31,Neutral
fall,31,Negativa
nazi,31,Neutral
elon,31,Neutral
almost,31,Neutral
springsteen,31,Neutral
drugging,31,Neutral
news,30,Neutral
propaganda,30,Negativa
able,30,Neutral
anymore,30,Neutral
story,30,Neutral
common,30,Neutral
forget,30,Neutral
jail,30,Neutral
promise,30,Positiva
police,30,Neutral
business,30,Neutral
single,30,Neutral
bill,30,Neutral
completely,30,Neutral
folk,30,Neutral
might,29,Neutral
week,29,Neutral
happened,29,Neutral
team,29,Neutral
ballot,29,Neutral
pretty,29,Positiva
entire,29,Neutral
disgusting,29,Negativa
report,29,Neutral
belief,29,Neutral
glad,29,Positiva
nervous,29,Negativa
ignorant,29,Negativa
female,29,Neutral
saw,29,Neutral
however,29,Neutral
dark,29,Negativa
root,29,Neutral
jamesawhitney,29,Neutral
sick,28,Negativa
presidency,28,Neutral
omg,28,Neutral
yr,28,Neutral
fun,28,Positiva
whatever,28,Neutral
wtf,28,Neutral
eye,28,Neutral
social,28,Neutral
based,28,Neutral
trash,28,Negativa
perfect,28,Positiva
cringe,28,Negativa
powerful,28,Positiva
china,28,Neutral
tim,27,Neutral
started,27,Neutral
honest,27,Positiva
research,27,Neutral
liberal,27,Neutral
wrote,27,Neutral
realize,27,Neutral
especially,27,Neutral
loser,27,Negativa
wife,27,Neutral
cause,27,Neutral
n,27,Neutral
second,27,Neutral
culture,27,Neutral
blood,27,Neutral
mixed,27,Neutral
skin,27,Neutral
epstein,27,Neutral
shut,26,Neutral
huge,26,Neutral
island,26,Neutral
allowed,26,Neutral
christian,26,Neutral
california,26,Neutral
including,26,Neutral
month,26,Neutral
gun,26,Neutral
age,26,Neutral
debate,26,Neutral
term,26,Neutral
front,26,Neutral
v,26,Neutral
favorite,26,Positiva
spoke,26,Neutral
hey,26,Neutral
gave,26,Neutral
character,26,Neutral
india,26,Neutral
broke,26,Negativa
ridiculous,26,Negativa
course,26,Neutral
interest,26,Neutral
hero,26,Positiva
millionaire,26,Neutral
stuff,25,Neutral
rest,25,Neutral
early,25,Neutral
straight,25,Neutral
corrupt,25,Negativa
move,25,Neutral
walk,25,Neutral
terrible,25,Negativa
strong,25,Positiva
deal,25,Neutral
afford,25,Positiva
rather,25,Neutral
felon,25,Negativa
parent,25,Neutral
identity,25,Neutral
self,25,Neutral
close,25,Neutral
follow,25,Neutral
fear,25,Negativa
cool,25,Positiva
earth,25,Neutral
seeing,25,Neutral
dream,25,Neutral
ad,25,Neutral
horrible,24,Negativa
soul,24,Neutral
bunch,24,Neutral
action,24,Neutral
leave,24,Neutral
hilarious,24,Positiva
disaster,24,Negativa
value,24,Neutral
took,24,Neutral
level,24,Neutral
billion,24,Neutral
involved,24,Neutral
fix,24,Neutral
totally,24,Neutral
shouldnt,24,Neutral
spent,24,Neutral
id,24,Neutral
worry,24,Negativa
song,24,Neutral
influence,24,Neutral
health,24,Neutral
write,24,Neutral
touch,24,Neutral
admitted,24,Neutral
probably,23,Neutral
pray,23,Neutral
failed,23,Negativa
current,23,Neutral
smh,23,Neutral
background,23,Neutral
youtube,23,Neutral
town,23,Neutral
honestly,23,Neutral
continue,23,Neutral
exactly,23,Neutral
ukraine,23,Neutral
choose,23,Neutral
career,23,Neutral
difference,23,Neutral
j,23,Neutral
november,23,Neutral
candace,23,Neutral
knew,23,Neutral
reporting,23,Neutral
seriously,23,Neutral
role,23,Neutral
attention,23,Neutral
lmao,23,Neutral
robbing,23,Neutral
brought,22,Neutral
youve,22,Neutral
city,22,Neutral
weak,22,Negativa
foreign,22,Neutral
calling,22,Neutral
rogan,22,Neutral
actual,22,Neutral
wonderful,22,Positiva
moron,22,Negativa
none,22,Neutral
havent,22,Neutral
benefit,22,Positiva
national,22,Neutral
worker,22,Neutral
changed,22,Neutral
low,22,Neutral
sex,22,Neutral
r,22,Neutral
east,22,Neutral
musk,22,Neutral
singer,22,Neutral
record,21,Neutral
forward,21,Neutral
speaker,21,Neutral
rate,21,Neutral
israel,21,Neutral
smile,21,Positiva
order,21,Neutral
simple,21,Neutral
blame,21,Negativa
military,21,Neutral
secret,21,Neutral
group,21,Neutral
sell,21,Neutral
playing,21,Neutral
famous,21,Positiva
orange,21,Neutral
rock,21,Neutral
irish,21,Neutral
example,21,Neutral
leadership,21,Neutral
play,21,Neutral
heritage,21,Neutral
rapper,21,Neutral
miss,20,Negativa
seem,20,Neutral
audience,20,Neutral
light,20,Neutral
dead,20,Negativa
waiting,20,Neutral
destroy,20,Negativa
obamas,20,Neutral
tried,20,Neutral
victim,20,Neutral
court,20,Neutral
happen,20,Neutral
standing,20,Neutral
covid,20,Neutral
case,20,Neutral
gone,20,Neutral
piece,20,Neutral
crap,20,Negativa
weird,20,Negativa
putin,20,Neutral
diddys,20,Neutral
waltz,20,Neutral
delusional,20,Negativa
buy,20,Neutral
everyday,20,Neutral
turned,20,Neutral
bringing,20,Neutral
whether,20,Neutral
endorses,20,Positiva
sir,20,Neutral
stick,20,Neutral
rolling,20,Neutral
asked,19,Neutral
enemy,19,Negativa
embarrassment,19,Negativa
