Comentario,Autor,URL_Video,Idioma,Fecha_Publicacion_Comentario,Polaridad,Subjetividad
até gosto do trump ma pensando brasil melhor seria kamala vencesse principalmente tendo um governo centro esquerda brasil porém acredito maioria do eleitores do eua tem um problema com relação votar em uma mulher pra presidente sendo assim espero relação trump lula seja respeitosa harmônica mesmo achando não assim veremos,@GeorgeClayton1010,https://www.youtube.com/watch?v=JBb3sxR_3u8,,02/11/2024 23:54,0.0,0.0
trump é só homem desviou um tiro na vida real,@Lula.Sincero,https://www.youtube.com/watch?v=JBb3sxR_3u8,,02/11/2024 23:52,0.2,0.30000000000000004
trump win mean ivanka win i hope she will be back a trump adviser in the white house ivanka is the only person who could bring hope to the american men,@Hitamjoy,https://www.youtube.com/watch?v=x-zw0OXfmCY,,02/11/2024 23:54,0.18392857142857144,0.3553571428571428
first time voter here honestly if someone said this i would say b but when i went to vote i had to pas by pro trump pro harris and pro write in i asked everyone why i should vote for their person and the write in had some great reason pro trump had even more harris team actually told they werent there for that and only wanted to know who i wa voting for,@MichaelEssex,https://www.youtube.com/watch?v=x-zw0OXfmCY,,02/11/2024 23:46,0.35833333333333334,0.5972222222222222
these people waited long timebut so did i it wa worth it,@vvpark11,https://www.youtube.com/watch?v=x-zw0OXfmCY,,02/11/2024 23:42,0.125,0.25
maga since trump embraced violence in election threat against elected official at all level is up wsj the violent turn in american politics folk that is anything but great vote for honorable people on nov,@billdurkee8824,https://www.youtube.com/watch?v=x-zw0OXfmCY,,02/11/2024 23:42,0.0,0.5833333333333334
lie lie lie,@MarkDerbyshiremoses,https://www.youtube.com/watch?v=x-zw0OXfmCY,,02/11/2024 23:30,0.0,0.0
love all the garbage man jacket top tier trolling,@paulmcmillan533,https://www.youtube.com/watch?v=x-zw0OXfmCY,,02/11/2024 23:28,0.5,0.55
this just hot off the wire trump remains cancerous lump on the of humanity,@thepoetthatwasi1722,https://www.youtube.com/watch?v=x-zw0OXfmCY,,02/11/2024 23:25,0.25,0.8500000000000001
il va protéger femmes contre bestialité de démocrates où femmes couchent avec femmes hommes avec hommes fils avec leurs mamans comme cest ca avec macron effectivement vous ne devez quêtre pour harris car france est une république bestiale sans identité moralité,@ngurualpha9248,https://www.youtube.com/watch?v=AFDRPjR7EsU,,02/11/2024 22:40,0.0,0.0
