Comentario,Autor,URL_Video,Idioma,Fecha_Publicacion_Comentario
read more about jd vance here,@wsj,https://www.youtube.com/watch?v=-3s4ezgFaUE,,15/07/2024 19:24
speak the turth,@vophie,https://www.youtube.com/watch?v=-3s4ezgFaUE,,31/10/2024 17:56
jd vance is mega chad meme love that,@Samantha-xi4xr,https://www.youtube.com/watch?v=-3s4ezgFaUE,,29/10/2024 20:01
yes trump truly did great tremendous when america needed strong leader but clearly the oval office isnt trump tower he not politician he great business man and the great business men he surrounded himself with instead of great politician show is incapable of taking the presidency again,@CherylRyanRoberts,https://www.youtube.com/watch?v=-3s4ezgFaUE,,26/10/2024 11:41
maga isnt even thing or real it wrong you paint american who belive in america and want it to be the greatest country a group or movement all american want america to be great regardless of what they belive to be done to make it great it wrong sad and low to see people lable and judge american who want to see america put first from their elected official you have to learn to love yourself before you can love othersyou have to make america great again before you ca,@dennisjankowski560,https://www.youtube.com/watch?v=-3s4ezgFaUE,,24/10/2024 14:23
honestly a the number one trump voter i am cry right now because jd need to be the president not donald,@spencerbainter677,https://www.youtube.com/watch?v=-3s4ezgFaUE,,19/10/2024 01:20
an illegal immigrant married to later divorce to marry his illegal mistress and take my child away leaving jobless and homeless in mental institution,@RosaMartinez-mv1dd,https://www.youtube.com/watch?v=-3s4ezgFaUE,,17/10/2024 16:30
i never even made the connection i loved his character and the whole story before learning about him the spirit of true american patriot his story is the american story my ballot is sealed,@Garifunanurse,https://www.youtube.com/watch?v=-3s4ezgFaUE,,16/10/2024 21:15
lot of young and overzealous type people behind trump the same type to be following andrew tate and believe im young man myself and have been around those type of people not really good sign by the way i dont really like the harris or the left either,@SuhaibM1,https://www.youtube.com/watch?v=-3s4ezgFaUE,,11/10/2024 19:58
booh,@DeborahWingard-ji4lz,https://www.youtube.com/watch?v=-3s4ezgFaUE,,04/10/2024 16:44
wrong jd vance wa picked soley on his support of project they are christian nationalist fascist there wa assassination attempt set it up what is this garbage,@DeborahWingard-ji4lz,https://www.youtube.com/watch?v=-3s4ezgFaUE,,04/10/2024 16:42
i dont believe vance to like him but person who his own thought and will be person who is his own man i truly believe if harris were to be president i am very very scared do you honestly think putin or china president would even give her second thought be real please we all know the machine that run man law can be changed in the twigle of eye people we dont have to like the man but who will keep america is not going to ever be free again if harris were to winthats why i say i am truly scared this great country is gone,@mathiasniemeier4359,https://www.youtube.com/watch?v=-3s4ezgFaUE,,02/10/2024 12:06
trump took the republican party out of the swamp and he gon na take america out of their elitist hand too,@JMBBrasil,https://www.youtube.com/watch?v=-3s4ezgFaUE,,02/10/2024 11:23
jd vance is great,@JMBBrasil,https://www.youtube.com/watch?v=-3s4ezgFaUE,,02/10/2024 11:22
socalled tech bros have plan to dismantle american democracyyall better wake up harriswalz,@ridge7524,https://www.youtube.com/watch?v=-3s4ezgFaUE,,01/10/2024 18:40
im sorrrrrry donald j trump it didnt work out dont get wrong ive admired your work your great guy and all but your fired u can still use a reference tho kiss love sincery yours james tristram coffin,@jcoffin89,https://www.youtube.com/watch?v=-3s4ezgFaUE,,27/09/2024 09:24
eli trail,@DanielClark-s3p,https://www.youtube.com/watch?v=-3s4ezgFaUE,,27/09/2024 04:51
maga make america great again because it isnt great anymore i very much dislike to say have you been programmed to think maga is threat if maga trigger you best believe youve been brainwashed doubt about it the tv and news paper hollywood have trained you like parrot we all know who run these thing hollywood is cesspool,@These-nutz,https://www.youtube.com/watch?v=-3s4ezgFaUE,,26/09/2024 04:08
james donald bowman should use the name assigned at birth and not try to transition to some woke liberal name like jd vance,@RobRoss,https://www.youtube.com/watch?v=-3s4ezgFaUE,,19/09/2024 05:10
vance your mom wa nurse stealing med from her patient,@IvanKristiansen,https://www.youtube.com/watch?v=-3s4ezgFaUE,,09/09/2024 20:36
fierce face fierce look horrible vice,@SegundoYaipenyj,https://www.youtube.com/watch?v=-3s4ezgFaUE,,08/09/2024 18:14
mr trump mrj j d vance is good man,@DelilahBorden-fe9ps,https://www.youtube.com/watch?v=-3s4ezgFaUE,,07/09/2024 19:33
ahhhh yes jp mandell,@livinginoklahomacityofficial,https://www.youtube.com/watch?v=-3s4ezgFaUE,,07/09/2024 09:09
lol look at thoes two donald and goofy,@soljahtimaru,https://www.youtube.com/watch?v=-3s4ezgFaUE,,02/09/2024 02:41
here are some reason for supporting president crump which are your favorite is honest truthful reverent kind respectful generous trustworthy decent moral cheerful if you would like to see other category not listed here let know,@gobot109,https://www.youtube.com/watch?v=-3s4ezgFaUE,,31/08/2024 23:22
should of picked desantis ted cruz or rfk someone more known and can combine power and influence trump is always trusting people who really hate him and might sabotage him in the end it one reason the swamp wasnt drained,@rosyvision,https://www.youtube.com/watch?v=-3s4ezgFaUE,,30/08/2024 12:52
trump needed nazi thinking running mate that is willing to take fall for him and vance is just ignorant enough to get the job,@TomLongone,https://www.youtube.com/watch?v=-3s4ezgFaUE,,29/08/2024 12:47
law inforcement in america is corrupt fix it,@kellyradcliff1989,https://www.youtube.com/watch?v=-3s4ezgFaUE,,27/08/2024 15:54
jd i never liked donald is terrible person the wrong candidate flip flop flipperjd is camellian they will lose the attack wasstaged,@Cheng-jq6fc,https://www.youtube.com/watch?v=-3s4ezgFaUE,,27/08/2024 08:00
wow had idea wa never trump,@danielmaluenda9731,https://www.youtube.com/watch?v=-3s4ezgFaUE,,24/08/2024 00:00
why is it floating around the internet that rfk jr want to be his running mate,@survivor648,https://www.youtube.com/watch?v=-3s4ezgFaUE,,22/08/2024 15:35
jd vance is liar he actually never trumper once never trumper always never trumper,@CelestiaLudNLD,https://www.youtube.com/watch?v=-3s4ezgFaUE,,22/08/2024 05:54
jd vance once compared trump to hitler vance wa bitter critic of donald trump publicly called the republican presidential candidate an idiot and said wa reprehensible,@florinstefan777,https://www.youtube.com/watch?v=-3s4ezgFaUE,,19/08/2024 16:26
we love to hear about how vance want to take away woman black hispanic and minority right to vote tell u more vance read project,@wendyphillips5002,https://www.youtube.com/watch?v=-3s4ezgFaUE,,18/08/2024 18:54
just now wa thinking if trump wa going to work closely with someone watch it be someone from ohio sure enough just learned this guy is from ohio anyone remember the train derailment thing in palenstine ohio where trump bought everyone one of the worst food you can buy anyone for human consumption trump bought everyone mcdonalds and made it seem like really cared about the people in palenstine ohio if i look more into im sure there is some criminal activity going on with trump and that derailment bribery pay off someone deep blue state type stuff from state governmenors to president the only real enemy u citizen need to be aware of are the people in the white house all of them democrat v republican all cut from the same carboard box i dont understand how these guy are able to rome around freely because they destroy everything moreover democrat or republican they are at war with american not just other country,@EndTheIMF,https://www.youtube.com/watch?v=-3s4ezgFaUE,,18/08/2024 17:35
jd is awesome will be great vp,@PeggyHale-j5m,https://www.youtube.com/watch?v=-3s4ezgFaUE,,16/08/2024 03:23
trump vance,@aSkibidiRunner,https://www.youtube.com/watch?v=-3s4ezgFaUE,,15/08/2024 03:09
the republican party under trump is puppet show real republican dont want to be associated with,@au-contraire,https://www.youtube.com/watch?v=-3s4ezgFaUE,,14/08/2024 18:27
trump will dump jd those photo of jd dressed in drag will get to trump gop who arent very inclusive,@KoldTrain,https://www.youtube.com/watch?v=-3s4ezgFaUE,,13/08/2024 21:01
who yawn,@roncadorette4081,https://www.youtube.com/watch?v=-3s4ezgFaUE,,13/08/2024 17:39
im not sure if i agree with trump choice,@pamelaolson5614,https://www.youtube.com/watch?v=-3s4ezgFaUE,,12/08/2024 00:56
rfk jr get my votekennedy f the party monopoly,@dust921,https://www.youtube.com/watch?v=-3s4ezgFaUE,,10/08/2024 22:35
so he grifter,@Novelist1029,https://www.youtube.com/watch?v=-3s4ezgFaUE,,10/08/2024 01:18
great piece reminds of how journalism used to be,@lemurianchick,https://www.youtube.com/watch?v=-3s4ezgFaUE,,09/08/2024 04:13
this guy just weird,@coeimage,https://www.youtube.com/watch?v=-3s4ezgFaUE,,08/08/2024 16:58
i guess vance didnt see what happened to the last guy,@SuperSpeedMonkey,https://www.youtube.com/watch?v=-3s4ezgFaUE,,07/08/2024 20:08
im sorry the new right is anyone seeing something concerning there with that the worshiping of trump his hate fueled speech wanting to dismantle education i would not be suprised if there wa burning of book if trump got reelected god forbid,@katimillard5924,https://www.youtube.com/watch?v=-3s4ezgFaUE,,07/08/2024 19:03
calling him creature is hilarious,@milknmydreadzpodcast8622,https://www.youtube.com/watch?v=-3s4ezgFaUE,,07/08/2024 18:15
how doe one make america great again when one cant make one self decent,@my2love755,https://www.youtube.com/watch?v=-3s4ezgFaUE,,07/08/2024 11:50
shouldve been vivek or gabbard gabbard imo shes hot and charismatic and already beat kamala absolutely horrendous pick,@Ariesgvd,https://www.youtube.com/watch?v=-3s4ezgFaUE,,07/08/2024 05:06
mention of his military service maybe i missed it it wa certainly mentioned in wsjs recent walz video,@danp7988,https://www.youtube.com/watch?v=-3s4ezgFaUE,,07/08/2024 01:19
the party of peter thiel,@kurt9609,https://www.youtube.com/watch?v=-3s4ezgFaUE,,06/08/2024 23:49
i just watched the democrat vice president and went back to this and i found this channel is biased they make this guy look like brain washed trumper lol,@Mindi0-0,https://www.youtube.com/watch?v=-3s4ezgFaUE,,06/08/2024 22:07
the best russian vp candidate america ever had,@tradorj8354,https://www.youtube.com/watch?v=-3s4ezgFaUE,,06/08/2024 21:02
who is jd vance and why did trump pick him said because look good,@DB-xe7tc,https://www.youtube.com/watch?v=-3s4ezgFaUE,,06/08/2024 20:06
cant wait to see thie vp debate dont be fooled by walz friendly demeanor is veteran former senator and popular governor who appeal to the working class without the baggage of jd vance,@MrSmitty1992,https://www.youtube.com/watch?v=-3s4ezgFaUE,,06/08/2024 19:44
not once wa the real reason for jds pick money from elon and peter thiel mentioned in this garbage pseudojournalism,@genlea9490,https://www.youtube.com/watch?v=-3s4ezgFaUE,,06/08/2024 14:57
the never trumper is the vp pick guess donald couldnt find anyone willing to be his vp after what did to penny,@1004bs,https://www.youtube.com/watch?v=-3s4ezgFaUE,,06/08/2024 14:21
honestly it is surprising and shocking and not apologized yet his view on the country and it future a well on woman is shocking and unethical obviously voiced his true feeling about woman which is not welcome to say the thing said at his level show his lack of leadership quality what will do when the power matter who win that individual is bound to treat people equally and with ethic doe not show those trait,@peacockLife,https://www.youtube.com/watch?v=-3s4ezgFaUE,,02/08/2024 20:51
this is just incredibly wrong on lot of point from which it argues,@michaelbuccola1675,https://www.youtube.com/watch?v=-3s4ezgFaUE,,02/08/2024 05:33
jd vance stated trump is just bad man morally reprehensible human,@Caupdz,https://www.youtube.com/watch?v=-3s4ezgFaUE,,01/08/2024 16:17
im never trump guy i never liked him jd vance,@Caupdz,https://www.youtube.com/watch?v=-3s4ezgFaUE,,01/08/2024 16:16
vivek ramaswamy should have been vp,@sachinpatil-jc2hd,https://www.youtube.com/watch?v=-3s4ezgFaUE,,01/08/2024 14:48
dj trump don jr trump don jr trump eric trump eric trump go republican,@philipj94849,https://www.youtube.com/watch?v=-3s4ezgFaUE,,30/07/2024 05:24
straitwightamerikkkandejesus,@sirloin869,https://www.youtube.com/watch?v=-3s4ezgFaUE,,28/07/2024 22:12
the problem is that intellectually the maga option are appallingly poor,@EZEKIELAIA,https://www.youtube.com/watch?v=-3s4ezgFaUE,,28/07/2024 21:09
the cope is strong with this comment section,@eventev3700,https://www.youtube.com/watch?v=-3s4ezgFaUE,,27/07/2024 23:41
why did trump pick vance look like christian pastor not like vp belongs in church a pastor i wouldnt want pastor for vp,@happierabroad,https://www.youtube.com/watch?v=-3s4ezgFaUE,,27/07/2024 11:54
trump need phony crony show pony to pretty up his geriatric campaign,@QuillandVenom,https://www.youtube.com/watch?v=-3s4ezgFaUE,,26/07/2024 22:04
did she really refer to him a creature in the first second of the video,@shawn-egri,https://www.youtube.com/watch?v=-3s4ezgFaUE,,26/07/2024 18:21
dump wanted reflection of his younger self thst wasnt eric or djtj,@beachlover9705,https://www.youtube.com/watch?v=-3s4ezgFaUE,,26/07/2024 11:18
jd vances diet mountain dew joke wa hilarious i havent laughed that much in many year could be standup comedian too,@breeze1985,https://www.youtube.com/watch?v=-3s4ezgFaUE,,26/07/2024 05:43
totally vote oriented pick white and from ohio,@rzz9594,https://www.youtube.com/watch?v=-3s4ezgFaUE,,26/07/2024 01:03
diese damenbinde killt mich,@respectfull81,https://www.youtube.com/watch?v=-3s4ezgFaUE,,25/07/2024 14:46
hows your koolaid yall,@jeanettegomez1145,https://www.youtube.com/watch?v=-3s4ezgFaUE,,25/07/2024 06:44
i like trump new earring it kind of look bizarre i think it could be something that spock might wear anyhow lovely white folder plastic earring i think it could use some color maybe red or black,@lynniespringer1705,https://www.youtube.com/watch?v=-3s4ezgFaUE,,25/07/2024 02:09
wsj cry already,@frankservant5754,https://www.youtube.com/watch?v=-3s4ezgFaUE,,25/07/2024 01:26
anyone can see that this is hit piece trying to setup trump and republican a far from center some kind of naziesque fascist movement that is insane these journalist should be ashamed of themselves,@DKREALFEEL,https://www.youtube.com/watch?v=-3s4ezgFaUE,,24/07/2024 17:30
you guy were quick literally announced minute ago how long wa this in the draft,@tienquốcbui-j1u,https://www.youtube.com/watch?v=-3s4ezgFaUE,,24/07/2024 09:16
national conservatism lol what name shall we call it naco,@monkey_gamer_001,https://www.youtube.com/watch?v=-3s4ezgFaUE,,24/07/2024 08:18
so essentially putin friend,@MsGilli1995,https://www.youtube.com/watch?v=-3s4ezgFaUE,,24/07/2024 07:06
vance wouldnt think twice about starting war with iran and sending american kid to die thousand of mile away something similar to what cheney did in iraq to benefit halliburton but this time the profiteer would be thiels palantir,@jay-zo3gn,https://www.youtube.com/watch?v=-3s4ezgFaUE,,24/07/2024 02:57
their tactic is the same trash everybody to make trump unwary supporter think that know more than everyone else in the world when the truth is just the opposite trump is the one who doesnt have clue so make up lie always lied always will lie because thats all know how to do so sad,@John-ev3rm,https://www.youtube.com/watch?v=-3s4ezgFaUE,,24/07/2024 00:14
translation i just have to love him now for my political career,@nikhilkay1,https://www.youtube.com/watch?v=-3s4ezgFaUE,,23/07/2024 13:58
the way shamefully look away all you need to know how proud is about his life choice,@olexy.skrypnik,https://www.youtube.com/watch?v=-3s4ezgFaUE,,23/07/2024 12:36
can trump still change his mind feel nothing when saying youre fired,@miavos3610,https://www.youtube.com/watch?v=-3s4ezgFaUE,,23/07/2024 10:51
trump historically struggled with minority voter had historic uptick last election make question the legitimacy of any of this video,@Mrm19941,https://www.youtube.com/watch?v=-3s4ezgFaUE,,23/07/2024 06:10
jd is brilliant guy understands possible implication and security threat that are not in america best interest,@shanomarjames,https://www.youtube.com/watch?v=-3s4ezgFaUE,,22/07/2024 22:35
look into peter thiel funded vances rise in the gop,@Mike-vd2qt,https://www.youtube.com/watch?v=-3s4ezgFaUE,,22/07/2024 18:51
trump will screw jd vance just like every person that did business with him for decade,@RavensECONOMICbeast,https://www.youtube.com/watch?v=-3s4ezgFaUE,,22/07/2024 16:44
harris and all the right minded sane conscionable voting majority saidyeessss all the fragile ego minority saidoh nomommy help who moved my cheese,@FreydKao,https://www.youtube.com/watch?v=-3s4ezgFaUE,,22/07/2024 16:33
trump sown more hatred and division in the u than any leader in history enough is enough harris and anyone,@FreydKao,https://www.youtube.com/watch?v=-3s4ezgFaUE,,22/07/2024 16:32
we have all experienced and seen the depth trump and is willing to drag u all down to more year is unconscionable to contemplate common sense dictate for continued change in an opposite direction,@FreydKao,https://www.youtube.com/watch?v=-3s4ezgFaUE,,22/07/2024 16:32
trump,@Urbanhunter49,https://www.youtube.com/watch?v=-3s4ezgFaUE,,22/07/2024 14:02
maga now more than ever,@dianaelizabeth4166,https://www.youtube.com/watch?v=-3s4ezgFaUE,,22/07/2024 13:24
with the revelation from rachel maddow of why and how this nobody jd vance wa chosen by trump to be his running mate it would not surprise one bit that jd vance may have purchased his law degree from yale that scenario is most likely than thinking earn that degree and yes it yale surprise well look where is today is running for the united state of america vice presidency i sincerely hope loose the election along with the guy previously hated doesnt deserve to be the usa vp,@Ultorvindex,https://www.youtube.com/watch?v=-3s4ezgFaUE,,22/07/2024 05:58
wouldnt pick his kid,@scottlatessaii9501,https://www.youtube.com/watch?v=-3s4ezgFaUE,,22/07/2024 04:41
to every complex problem promise simple solution never offer detail for how these plan will work because cant trump promise are the needle in america collective vein trump is cultural heroin make some feel better for bit but can not fix what ail them and one day theyll realize it jd vance,@javtimestwo,https://www.youtube.com/watch?v=-3s4ezgFaUE,,22/07/2024 03:34
vance for president for,@fruitsmanngaming1435,https://www.youtube.com/watch?v=r75uumFxKBo,,02/11/2024 23:57
tapper oh boy jd for the win,@codymoody9689,https://www.youtube.com/watch?v=r75uumFxKBo,,02/11/2024 23:57
look like future president interview here and great vp,@SuperintendentRobRob,https://www.youtube.com/watch?v=r75uumFxKBo,,02/11/2024 23:55
i find these vance interview funny i have clue why but they always entertain and get laugh out of,@mikeoxlong5341,https://www.youtube.com/watch?v=r75uumFxKBo,,02/11/2024 23:38
jd vance is puppet good job to jt for holding that lyers foot to the fire,@Schweini_1983,https://www.youtube.com/watch?v=r75uumFxKBo,,02/11/2024 23:12
dude jd take it easy on tapper he on the verge of tear,@Jean-n2x,https://www.youtube.com/watch?v=r75uumFxKBo,,02/11/2024 23:09
tapper is playing a leslie stahl on min,@mikewallace8087,https://www.youtube.com/watch?v=r75uumFxKBo,,02/11/2024 23:02
this is why we call it legacy medium,@rsd6543,https://www.youtube.com/watch?v=r75uumFxKBo,,02/11/2024 22:43
marine empuñó armas participó ningún combate parte personal administrativo involucrado organizaciones ultraconservadoras católicas mentor incluso abjuró catolicismo pues posturas papa bergoglio parecían demasiado suaves convirtió ortodoxia rusa ultranacionalista reaccionaria así pues vance resulta ser enlace trump putin financió primera campaña supongo aporta biyuyo fin intereses nacionales americanos manos fachas traidores vendidos intereses foráneos nación manos viejito incapaz esperanzas,@SangDeLoup,https://www.youtube.com/watch?v=jg_xbKUGlOA,,18/07/2024 13:15
resucitó jovenpaco stanley trabajar trump,@RenatosombraPalomares,https://www.youtube.com/watch?v=jg_xbKUGlOA,,18/07/2024 03:44
bélico montón nadamás,@fernandobarrera1370,https://www.youtube.com/watch?v=jg_xbKUGlOA,,17/07/2024 23:08
bien echo viejito pelos elote viva marine,@silviacabrera672,https://www.youtube.com/watch?v=jg_xbKUGlOA,,17/07/2024 18:30
cabe duda inteligente donald trump nunca borradas uds siempre mienten siguen narrativas cnn libertad criterios propios,@adulfonavarro9955,https://www.youtube.com/watch?v=jg_xbKUGlOA,,17/07/2024 16:03
cara malo puede dar sorpesa huele traicion,@juanadelacruz9768,https://www.youtube.com/watch?v=jg_xbKUGlOA,,17/07/2024 15:48
nadoe solo r lamepatas trump vale,@josemiguelpenagarcia9265,https://www.youtube.com/watch?v=jg_xbKUGlOA,,17/07/2024 13:50
lademocrasia denuetro pay bapormal camino iapuntodesdesapareser,@juliovinas1409,https://www.youtube.com/watch?v=jg_xbKUGlOA,,17/07/2024 13:20
buenos héroes inportante paiz unidense quieren save america mejor tantos criminales gens peligros salen asus trabajos asaltos alos negocios desastres tornado precios alto u libéralo america save agein,@adrianaticas450,https://www.youtube.com/watch?v=jg_xbKUGlOA,,16/07/2024 21:38
bien buenhero,@adrianaticas450,https://www.youtube.com/watch?v=jg_xbKUGlOA,,16/07/2024 21:33
