Palabra,Frecuencia
trump,687
walz,606
tim,480
wa,421
people,402
like,354
vote,337
harris,304
kamala,273
dont,243
u,217
one,214
guy,207
love,204
know,193
want,185
president,174
make,174
year,172
would,165
say,164
america,163
get,162
man,159
time,155
im,153
american,151
tampon,151
country,150
vance,147
need,147
weird,142
go,141
great,137
even,136
thats,134
democrat,133
right,128
biden,127
cant,126
think,126
said,124
see,123
let,122
look,116
state,113
thing,110
going,107
never,107
lie,103
good,97
way,96
could,92
blue,90
party,89
white,89
didnt,86
really,86
family,86
garbage,85
back,84
woman,83
happy,83
ever,82
minnesota,81
someone,80
god,79
come,79
nothing,79
much,79
doe,77
world,76
got,76
vp,75
put,75
child,75
well,74
waltz,74
please,73
policy,72
doesnt,72
first,71
talk,71
joke,71
taylor,71
day,70
republican,70
also,70
election,69
joy,68
best,67
black,67
give,67
thank,66
made,66
speech,66
boy,66
care,65
puerto,65
believe,64
call,64
many,64
take,64
gay,62
tell,62
still,62
hope,62
win,62
fact,61
person,61
better,61
real,60
work,60
show,60
voting,60
talking,60
support,59
tax,58
anything,58
always,58
house,58
school,58
old,56
anyone,56
border,56
coach,56
running,55
word,55
life,54
done,53
left,53
sure,53
bad,53
money,53
mean,52
stop,52
every,51
everyone,51
help,51
million,51
comment,50
calling,50
plan,50
harriswalz,50
jd,50
governor,49
musk,49
saying,49
donald,49
hate,49
kid,49
question,49
issue,48
elon,47
job,47
business,47
office,47
war,47
feel,47
truth,47
two,47
taco,47
liar,46
china,46
vice,46
government,46
watch,46
actually,46
oh,46
lot,46
rico,46
voted,45
lol,45
keep,45
big,45
democratic,45
everything,44
next,44
campaign,44
last,43
called,43
trying,43
covid,42
fake,42
around,42
leader,42
usa,42
james,42
medium,41
new,41
free,41
abortion,41
dad,41
economic,40
democracy,40
freedom,40
name,40
already,40
run,40
obama,40
stupid,40
lying,39
wife,39
must,39
since,38
idiot,38
youre,38
debate,38
public,38
without,38
men,38
problem,38
isnt,38
true,38
shes,38
something,37
home,37
clown,37
yes,37
news,36
law,36
rally,36
city,36
father,36
lied,36
human,36
another,36
administration,35
politics,35
economy,35
open,35
live,35
part,35
funny,35
sound,34
seems,34
making,34
little,34
bathroom,34
kind,34
may,33
used,33
answer,33
timmy,33
video,33
citizen,33
bill,33
wrong,33
whole,33
rich,32
wow,32
political,32
try,32
dems,32
control,32
racist,32
class,32
friend,31
face,31
respect,30
leadership,30
full,30
military,30
candidate,30
working,30
theyre,30
nation,30
away,30
fix,30
mr,30
understand,30
team,30
song,30
price,29
else,29
trash,29
joe,29
united,29
ive,29
voter,29
wait,29
matter,29
place,28
politician,28
future,28
getting,28
normal,28
told,28
fun,28
find,28
use,28
wont,28
went,28
supporter,28
car,28
parent,28
entire,27
couldnt,27
dude,27
teacher,27
service,27
together,27
half,27
th,27
na,27
sense,27
proud,27
yet,27
worst,26
maga,26
whats,26
stand,26
communist,26
night,26
crime,26
pay,26
thanks,26
ask,26
b,26
illegal,26
literally,26
eye,26
thought,26
middle,26
fox,26
side,26
swift,26
speak,25
wouldnt,25
line,25
hand,25
read,25
saw,25
liberal,25
bring,25
reason,25
seen,24
health,24
act,24
national,24
turn,24
stage,24
high,24
record,24
hell,24
poor,24
save,24
security,24
stolen,24
food,24
ticket,24
definitely,24
maybe,24
coming,24
interview,24
illegals,24
cbs,24
tucker,23
hear,23
community,23
paid,23
moment,23
gun,23
mouth,23
remember,23
point,23
disgusting,23
choice,23
enough,23
change,23
absolutely,23
mind,23
hard,23
sad,22
young,22
fight,22
history,22
others,22
giving,22
heard,22
id,22
gon,22
girl,22
guess,22
dollar,22
beautiful,22
k,22
using,21
clearly,21
imagine,21
far,21
might,21
brother,21
burn,21
case,21
worse,21
start,21
gu,21
probably,21
smart,21
level,21
today,20
pretty,20
claim,20
instead,20
race,20
truck,20
move,20
head,20
gov,20
mother,20
project,20
immigrant,20
ill,20
watching,20
four,20
wish,20
inflation,20
ago,20
comedian,20
island,20
moderator,20
crowd,19
daughter,19
gas,19
cut,19
age,19
straight,19
wanted,19
latino,19
end,19
ballot,19
long,19
valor,19
alone,19
wasnt,19
baby,19
view,19
hot,19
term,18
top,18
insult,18
pandemic,18
deal,18
door,18
yeah,18
super,18
november,18
wonder,18
value,18
forward,18
power,18
trust,18
difference,18
creepy,18
gave,18
share,18
pick,18
glad,18
buy,18
putting,18
amazing,18
mate,18
sorry,18
past,18
global,18
clear,17
social,17
low,17
student,17
company,17
almost,17
mn,17
stay,17
jail,17
honest,17
truly,17
character,17
dangerous,17
become,17
though,17
story,17
month,17
bunch,17
criminal,17
allowed,17
important,17
rule,17
least,17
billion,17
ok,17
different,17
early,17
looking,17
daddy,17
evil,16
lack,16
second,16
finally,16
rate,16
total,16
hey,16
tims,16
bless,16
etc,16
okay,16
red,16
leave,16
brought,16
week,16
came,16
gwen,16
closet,16
yall,16
education,16
group,16
fan,16
listen,16
awesome,16
nice,16
taking,16
check,16
speaks,16
north,16
immigration,16
carlson,15
attack,15
figure,15
along,15
billionaire,15
telling,15
set,15
male,15
taxpayer,15
fire,15
loser,15
speaker,15
sister,15
disaster,15
born,15
totally,15
served,15
living,15
healthcare,15
tear,15
cry,15
supporting,15
huge,15
research,15
needed,15
especially,15
kamalas,15
system,15
lady,15
interest,15
eat,15
tough,15
youtube,14
mad,14
obvious,14
mic,14
worked,14
crazy,14
happen,14
break,14
vehicle,14
promise,14
peace,14
destroy,14
n,14
heart,14
minneapolis,14
small,14
took,14
piece,14
number,14
throw,14
able,14
coward,14
church,14
laugh,14
course,14
asked,14
ban,14
pathetic,14
cool,14
presidential,14
picked,14
socialist,14
position,14
police,14
afford,14
lost,14
allowing,14
grew,14
speaking,13
including,13
federal,13
waste,13
folk,13
death,13
somebody,13
biggest,13
meant,13
cause,13
except,13
signed,13
failure,13
near,13
double,13
agenda,13
sick,13
hold,13
deep,13
major,13
favorite,13
spoke,13
charge,13
order,13
body,13
behind,13
neighbor,13
damn,13
street,13
drug,13
program,13
chance,13
fraud,13
statement,13
close,13
voice,13
guard,13
genuine,13
perfect,13
thinking,13
result,13
elected,13
cooky,13
play,13
shed,13
aoc,13
whatever,12
however,12
blame,12
personal,12
solution,12
energy,12
wake,12
belief,12
fool,12
continue,12
listening,12
bit,12
explain,12
lord,12
stuff,12
single,12
creep,12
lived,12
disgrace,12
town,12
decision,12
winning,12
given,12
havent,12
college,12
earth,12
square,12
knucklehead,12
fair,12
star,12
walzs,12
career,12
air,12
mention,12
housing,12
higher,12
migrant,12
justice,12
leftist,12
victim,12
idea,12
affordable,12
music,12
ground,12
rican,12
us,11
cost,11
opinion,11
losing,11
hypocrite,11
loss,11
action,11
dead,11
court,11
prison,11
society,11
rhetoric,11
either,11
green,11
hunter,11
ridiculous,11
horrible,11
false,11
division,11
knew,11
combat,11
lead,11
afghanistan,11
forget,11
destroyed,11
gop,11
started,11
congress,11
soul,11
room,11
sweet,11
phony,11
clinton,11
feed,11
attempt,11
wholesome,11
late,11
shame,11
absolute,11
bet,11
hurt,11
benefit,11
hit,11
dumb,11
constitution,11
hasnt,11
generation,11
building,11
concept,11
carolina,11
clip,11
abc,11
moving,10
january,10
felon,10
brain,10
smell,10
weirdo,10
trouble,10
trumpvance,10
aint,10
stopped,10
member,10
welcome,10
fear,10
choose,10
protect,10
send,10
female,10
front,10
serious,10
hearing,10
anymore,10
crap,10
progressive,10
arent,10
rest,10
stood,10
none,10
cringe,10
shirt,10
shouldnt,10
husband,10
agree,10
buck,10
based,10
pride,10
general,10
loved,10
light,10
seeing,10
showed,10
jr,10
lower,10
strong,10
typical,10
doubt,10
standing,10
football,10
bucket,10
area,10
possible,10
israel,10
response,10
grocery,10
weapon,10
socialism,10
stupidest,10
reading,10
cnn,10
zero,10
landfill,10
pr,10
conspiracy,10
bioterrorism,10
cheese,10
interesting,9
ad,9
context,9
individual,9
helped,9
protecting,9
language,9
extreme,9
bot,9
worker,9
happened,9
delusional,9
foreign,9
load,9
moved,9
walk,9
three,9
employee,9
independent,9
letting,9
handle,9
clean,9
poll,9
homeless,9
simple,9
veteran,9
pray,9
cover,9
passed,9
owner,9
daily,9
exactly,9
touch,9
gone,9
le,9
insane,9
religious,9
track,9
according,9
extremely,9
wave,9
disability,9
narrative,9
wonderful,9
sleep,9
damage,9
restroom,9
dnc,9
duo,9
john,9
rfk,9
rock,9
self,9
tv,9
sometimes,9
shell,9
youll,9
county,9
chaos,9
beginning,9
sent,9
complete,9
host,9
david,9
woke,9
innocent,9
book,9
smile,9
post,9
hatred,9
scripted,9
v,9
built,9
propaganda,9
nazi,9
local,9
anti,9
actual,9
lmao,9
secure,9
electric,9
lose,9
ahead,9
dream,9
across,9
moron,9
reality,9
crisis,9
msnbc,9
spice,9
spicy,9
ricans,9
bc,9
game,9
endorsement,9
hiding,8
audience,8
chinese,8
official,8
bias,8
natural,8
spread,8
force,8
simply,8
opponent,8
found,8
movement,8
remark,8
ppl,8
married,8
successful,8
safety,8
hero,8
color,8
channel,8
tariff,8
hour,8
danger,8
everywhere,8
russia,8
fund,8
vision,8
radical,8
ta,8
freak,8
worry,8
thousand,8
loud,8
opportunity,8
nonsense,8
acting,8
pure,8
jesus,8
seriously,8
corrupt,8
concert,8
po,8
allow,8
qualified,8
christian,8
conservative,8
ivf,8
killed,8
son,8
minnesotan,8
main,8
unfortunately,8
easy,8
surgery,8
nobody,8
type,8
land,8
worried,8
camera,8
medical,8
prepared,8
tired,8
midwestern,8
shower,8
suck,8
integrity,8
changed,8
legal,8
taken,8
presidency,8
senior,8
beyond,8
highly,8
offer,8
ohio,8
mom,8
dictator,8
excited,8
provide,8
worth,8
example,8
referring,8
bidenharris,8
correct,8
picking,8
timpon,8
spending,8
california,8
r,8
honestly,8
decent,8
within,8
press,8
international,8
dislike,8
tony,8
buying,8
crypto,8
affair,7
mandate,7
worldwide,7
blaming,7
failed,7
unemployment,7
market,7
looked,7
couch,7
yr,7
j,7
flag,7
sell,7
inside,7
tool,7
elmer,7
involved,7
sign,7
fighting,7
drive,7
fine,7
quite,7
killing,7
insulting,7
tie,7
selling,7
mile,7
excuse,7
wall,7
increased,7
property,7
snitch,7
celebrity,7
debt,7
fired,7
hilarious,7
whose,7
lucky,7
spent,7
educated,7
hunger,7
sitting,7
rent,7
suffering,7
dying,7
card,7
common,7
tiananmen,7
wheres,7
mike,7
fall,7
terrorist,7
enemy,7
plus,7
treatment,7
pull,7
admit,7
appreciate,7
meanwhile,7
desperately,7
showing,7
decide,7
compare,7
sanctuary,7
driver,7
pushed,7
scary,7
vet,7
army,7
multiple,7
promised,7
fit,7
endorsed,7
childrens,7
afraid,7
strategy,7
lunch,7
chose,7
trans,7
demon,7
barack,7
morning,7
weve,7
zone,7
raised,7
kept,7
watched,7
weak,7
sit,7
empty,7
pushing,7
rank,7
chosen,7
refreshing,7
homosexual,7
till,7
bag,7
choosing,7
created,7
experience,7
deserve,7
table,7
master,7
minute,7
page,7
tried,7
push,7
outlet,7
pennsylvania,7
hair,7
intelligent,7
boring,7
biased,7
violent,7
orange,7
couple,7
asking,7
sir,7
evidence,7
bidens,7
consider,7
dear,7
event,7
shit,7
unity,7
network,7
scout,7
milwaukee,7
putin,7
rigged,7
beef,7
queen,6
mentioned,6
recently,6
source,6
measure,6
vaccine,6
expert,6
due,6
internet,6
broke,6
threat,6
information,6
guilty,6
middleclass,6
poverty,6
mirror,6
laughing,6
tape,6
tesla,6
bible,6
outside,6
donold,6
nearly,6
fascist,6
hired,6
fail,6
deserves,6
versus,6
nd,6
grade,6
missed,6
serve,6
currently,6
bull,6
younger,6
minority,6
flagstaff,6
notice,6
posted,6
effort,6
yesterday,6
behavior,6
completely,6
arizona,6
facing,6
ignorant,6
fed,6
p,6
f,6
bread,6
appeal,6
message,6
wrote,6
talked,6
die,6
slur,6
primary,6
southern,6
mess,6
actor,6
wearing,6
st,6
machine,6
puppet,6
driving,6
approach,6
capacity,6
meeting,6
lawsuit,6
safe,6
despite,6
faith,6
gender,6
add,6
purpose,6
separation,6
pretending,6
wear,6
nonsensical,6
ruined,6
rather,6
match,6
create,6
riot,6
vibe,6
alien,6
omg,6
loose,6
nebraska,6
fellow,6
relatable,6
mvp,6
hitler,6
staff,6
retired,6
command,6
decade,6
known,6
breath,6
helping,6
understanding,6
seem,6
bully,6
