Palabra,Frecuencia,Sentimiento
trump,687,Positiva
walz,606,Neutral
tim,480,Neutral
wa,421,Neutral
people,402,Neutral
like,354,Positiva
vote,337,Neutral
harris,304,Neutral
kamala,273,Neutral
dont,243,Neutral
u,217,Neutral
one,214,Neutral
guy,207,Neutral
love,204,Positiva
know,193,Neutral
want,185,Neutral
president,174,Neutral
make,174,Neutral
year,172,Neutral
would,165,Neutral
say,164,Neutral
america,163,Neutral
get,162,Neutral
man,159,Neutral
time,155,Neutral
im,153,Neutral
american,151,Neutral
tampon,151,Neutral
country,150,Neutral
vance,147,Neutral
need,147,Neutral
weird,142,Negativa
go,141,Neutral
great,137,Positiva
even,136,Neutral
thats,134,Neutral
democrat,133,Neutral
right,128,Positiva
biden,127,Neutral
cant,126,Neutral
think,126,Neutral
said,124,Neutral
see,123,Neutral
let,122,Neutral
look,116,Neutral
state,113,Neutral
thing,110,Neutral
going,107,Neutral
never,107,Neutral
lie,103,Negativa
good,97,Positiva
way,96,Neutral
could,92,Neutral
blue,90,Neutral
party,89,Neutral
white,89,Neutral
didnt,86,Neutral
really,86,Neutral
family,86,Neutral
garbage,85,Negativa
back,84,Neutral
woman,83,Neutral
happy,83,Positiva
ever,82,Neutral
minnesota,81,Neutral
someone,80,Neutral
god,79,Neutral
come,79,Neutral
nothing,79,Neutral
much,79,Neutral
doe,77,Neutral
world,76,Neutral
got,76,Neutral
vp,75,Neutral
put,75,Neutral
child,75,Neutral
well,74,Positiva
waltz,74,Neutral
please,73,Neutral
policy,72,Neutral
doesnt,72,Neutral
first,71,Neutral
talk,71,Neutral
joke,71,Negativa
taylor,71,Neutral
day,70,Neutral
republican,70,Neutral
also,70,Neutral
election,69,Neutral
joy,68,Positiva
best,67,Positiva
black,67,Neutral
give,67,Neutral
thank,66,Positiva
made,66,Neutral
speech,66,Neutral
boy,66,Neutral
care,65,Neutral
puerto,65,Neutral
believe,64,Neutral
call,64,Neutral
many,64,Neutral
take,64,Neutral
gay,62,Neutral
tell,62,Neutral
still,62,Neutral
hope,62,Neutral
